wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
L,菅　野,7,33,12,6,0,5,5,小林,2018/03/30,阪神,1,2018RS
,高　木,1,4,1,0,0,0,0,大城,2018/03/30,阪神,0,2018RS
,谷　岡,1,3,0,1,0,0,0,大城,2018/03/30,阪神,0,2018RS
,田　口,5.2,28,11,4,3,4,4,小林,2018/03/31,阪神,1,2018RS
,谷　岡,0.1,1,0,0,0,0,0,小林,2018/03/31,阪神,0,2018RS
W,澤　村,1,3,0,2,0,0,0,小林,2018/03/31,阪神,0,2018RS
,上　原,1,3,0,1,0,0,0,小林,2018/03/31,阪神,0,2018RS
,カミネロ,1,4,1,2,0,0,0,小林,2018/03/31,阪神,0,2018RS
W,野　上,5.2,23,4,3,3,2,2,大城,2018/04/01,阪神,1,2018RS
,澤　村,1.1,4,0,0,0,0,0,大城,2018/04/01,阪神,0,2018RS
,上　原,1,3,0,0,0,0,0,小林,2018/04/01,阪神,0,2018RS
S,カミネロ,1,4,1,1,0,0,0,小林,2018/04/01,阪神,0,2018RS
W,山口俊,6,26,7,4,2,3,3,小林,2018/04/03,中日,1,2018RS
,澤　村,1,3,0,1,0,0,0,小林,2018/04/03,中日,0,2018RS
,上　原,1,3,0,0,0,0,0,小林,2018/04/03,中日,0,2018RS
,マシソン,1,4,0,1,1,0,0,小林,2018/04/03,中日,0,2018RS
L,吉川光,4,20,7,4,1,2,2,小林,2018/04/04,中日,1,2018RS
,谷　岡,2,9,1,1,1,1,1,小林,2018/04/04,中日,0,2018RS
,高　木,2,8,2,1,0,1,1,大城,2018/04/04,中日,0,2018RS
W,大　竹,5,20,4,1,1,1,1,大城,2018/04/05,中日,1,2018RS
,澤　村,1,6,4,0,0,1,1,大城,2018/04/05,中日,0,2018RS
,マシソン,1,3,0,1,0,0,0,小林,2018/04/05,中日,0,2018RS
,上　原,1,4,0,1,0,0,0,小林,2018/04/05,中日,0,2018RS
S,カミネロ,1,5,1,1,1,0,0,小林,2018/04/05,中日,0,2018RS
L,菅　野,6,25,7,5,1,5,4,小林,2018/04/06,ヤクルト,1,2018RS
,篠　原,2,9,3,0,1,1,1,大城,2018/04/06,ヤクルト,0,2018RS
,田　口,2.1,15,6,1,3,6,6,小林,2018/04/07,ヤクルト,1,2018RS
L,谷　岡,1.2,8,2,1,1,2,2,小林,2018/04/07,ヤクルト,0,2018RS
,高　木,2,16,5,0,4,6,6,小林,2018/04/07,ヤクルト,0,2018RS
,篠　原,2,9,3,0,0,1,1,小林,2018/04/07,ヤクルト,0,2018RS
L,野　上,5,23,6,5,3,5,5,大城,2018/04/08,ヤクルト,1,2018RS
,澤　村,2,9,3,0,1,2,2,小林,2018/04/08,ヤクルト,0,2018RS
,宮　國,1,3,0,1,0,0,0,小林,2018/04/08,ヤクルト,0,2018RS
,山口俊,7,28,5,5,2,1,1,小林,2018/04/10,横浜,1,2018RS
L,上　原,0.1,6,5,0,0,3,3,小林,2018/04/10,横浜,0,2018RS
,マシソン,0.2,2,0,2,0,0,0,小林,2018/04/10,横浜,0,2018RS
,澤　村,1,3,0,1,0,0,0,大城,2018/04/10,横浜,0,2018RS
,吉川光,5.2,22,6,5,0,2,2,小林,2018/04/11,横浜,1,2018RS
,宮　國,0.1,2,1,0,0,0,0,小林,2018/04/11,横浜,0,2018RS
,マシソン,1,4,0,1,1,0,0,小林,2018/04/11,横浜,0,2018RS
L,澤　村,0.2,7,5,0,0,4,4,小林,2018/04/11,横浜,0,2018RS
,田　原,1.1,4,0,2,0,0,0,小林,2018/04/11,横浜,0,2018RS
L,大　竹,4,22,9,4,1,5,5,小林,2018/04/12,横浜,1,2018RS
