wls,pitcher,innings,opotunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
W,菅　野,7,26,6,8,0,2,2,小林,2020/06/19,阪神,1,2020RS
,中　川,1,3,0,0,0,0,0,炭谷,2020/06/19,阪神,0,2020RS
S,デラロサ,1,3,1,1,0,0,0,炭谷,2020/06/19,阪神,0,2020RS
W,田　口,5,22,4,4,3,1,1,炭谷,2020/06/20,阪神,1,2020RS
,澤　村,1,3,0,1,0,0,0,炭谷,2020/06/20,阪神,0,2020RS
,ビエイラ,0.2,5,1,0,2,0,0,炭谷,2020/06/20,阪神,0,2020RS
,高　木,0.1,1,0,1,0,0,0,炭谷,2020/06/20,阪神,0,2020RS
,鍵　谷,1,3,0,2,0,0,0,大城,2020/06/20,阪神,0,2020RS
,藤　岡,1,4,1,0,0,0,0,大城,2020/06/20,阪神,0,2020RS
W,サンチェス,5,17,3,1,2,1,1,小林,2020/06/21,阪神,1,2020RS
,サンチェス,0.2,6,1,0,2,0,0,大城,2020/06/21,阪神,0,2020RS
,高　木,0.1,1,0,0,0,0,0,大城,2020/06/21,阪神,0,2020RS
,澤　村,1,3,0,1,0,0,0,大城,2020/06/21,阪神,0,2020RS
,中　川,1,4,1,1,0,0,0,大城,2020/06/21,阪神,0,2020RS
,宮　國,1,3,0,0,0,0,0,大城,2020/06/21,阪神,0,2020RS
W,戸　郷,6.2,25,4,7,2,2,2,炭谷,2020/06/23,広島,1,2020RS
,鍵　谷,0.1,1,0,0,0,0,0,炭谷,2020/06/23,広島,0,2020RS
,中　川,1,3,1,0,0,0,0,炭谷,2020/06/23,広島,0,2020RS
S,デラロサ,1,4,2,1,0,0,0,炭谷,2020/06/23,広島,0,2020RS
L,メルセデス,3,14,5,1,0,4,4,大城,2020/06/24,広島,1,2020RS
,古　川,2,9,4,2,0,1,1,大城,2020/06/24,広島,0,2020RS
,宮　國,2,9,2,3,1,0,0,大城,2020/06/24,広島,0,2020RS
,藤　岡,2,7,0,1,2,0,0,大城,2020/06/24,広島,0,2020RS
,桜　井,6,24,6,5,0,2,2,炭谷,2020/06/25,広島,1,2020RS
,澤　村,0.1,5,3,0,1,3,3,炭谷,2020/06/25,広島,0,2020RS
,高　木,0.1,2,1,0,0,0,0,炭谷,2020/06/25,広島,0,2020RS
,鍵　谷,0.1,1,0,0,0,0,0,炭谷,2020/06/25,広島,0,2020RS
,中　川,1,5,1,1,0,0,0,大城,2020/06/25,広島,0,2020RS
,デラロサ,1,3,0,0,0,0,0,大城,2020/06/25,広島,0,2020RS
,宮　國,1,3,0,1,0,0,0,大城,2020/06/25,広島,0,2020RS
,菅　野,5.2,26,7,4,2,5,5,大城,2020/06/26,ヤクルト,1,2020RS
,藤　岡,0.1,1,0,0,0,0,0,大城,2020/06/26,ヤクルト,0,2020RS
,鍬　原,1,4,0,1,1,0,0,大城,2020/06/26,ヤクルト,0,2020RS
,高　木,0.2,2,0,1,0,0,0,大城,2020/06/26,ヤクルト,0,2020RS
W,澤　村,0.1,1,0,1,0,0,0,大城,2020/06/26,ヤクルト,0,2020RS
S,デラロサ,1,4,0,1,1,0,0,大城,2020/06/26,ヤクルト,0,2020RS
,田　口,5,21,6,3,0,2,2,大城,2020/06/27,ヤクルト,1,2020RS
L,高　木,0.1,4,3,1,0,3,3,大城,2020/06/27,ヤクルト,0,2020RS
,宮　國,0,2,1,0,1,2,2,大城,2020/06/27,ヤクルト,0,2020RS
,藤　岡,0.2,6,2,0,2,2,2,大城,2020/06/27,ヤクルト,0,2020RS
,鍬　原,2,6,1,0,0,0,0,大城,2020/06/27,ヤクルト,0,2020RS
W,サンチェス,6,26,3,3,4,0,0,炭谷,2020/06/28,ヤクルト,1,2020RS
,澤　村,1,4,1,0,0,0,0,岸田,2020/06/28,ヤクルト,0,2020RS
,藤　岡,1,4,1,1,0,0,0,岸田,2020/06/28,ヤクルト,0,2020RS
,宮　國,1,3,0,0,0,0,0,岸田,2020/06/28,ヤクルト,0,2020RS
W,戸　郷,6.1,25,4,4,3,2,2,炭谷,2020/06/30,横浜,1,2020RS
,高　木,0.2,2,0,1,0,0,0,炭谷,2020/06/30,横浜,0,2020RS
,中　川,1,4,0,2,1,0,0,大城,2020/06/30,横浜,0,2020RS
S,デラロサ,1,5,1,0,1,0,0,大城,2020/06/30,横浜,0,2020RS
,メルセデス,5.2,26,7,4,3,1,1,大城,2020/07/01,横浜,1,2020RS
,鍵　谷,0.1,1,0,1,0,0,0,大城,2020/07/01,横浜,0,2020RS
,中　川,1,6,2,1,1,1,1,大城,2020/07/01,横浜,0,2020RS
L,澤　村,0.1,3,0,1,2,2,2,大城,2020/07/01,横浜,0,2020RS
,高　木,0.2,4,2,2,0,1,1,大城,2020/07/01,横浜,0,2020RS
,鍬　原,1,4,1,0,0,0,0,大城,2020/07/01,横浜,0,2020RS
W,桜　井,8,28,2,9,2,1,1,炭谷,2020/07/02,横浜,1,2020RS
,鍵　谷,1,5,1,0,1,2,2,炭谷,2020/07/02,横浜,0,2020RS
W,菅　野,9,31,1,11,3,0,0,大城,2020/07/03,横浜,1,2020RS
,田　口,3,9,1,2,0,0,0,大城,2020/07/04,横浜,1,2020RS
W,鍬　原,2,11,2,4,3,3,3,大城,2020/07/04,横浜,0,2020RS
,鍵　谷,1,3,1,0,0,0,0,大城,2020/07/04,横浜,0,2020RS
,高　木,1,4,1,1,0,0,0,大城,2020/07/04,横浜,0,2020RS
,中　川,1,3,0,0,0,0,0,大城,2020/07/04,横浜,0,2020RS
,澤　村,1,4,0,1,1,0,0,大城,2020/07/04,横浜,0,2020RS
L,サンチェス,2,12,6,0,1,3,3,炭谷,2020/07/05,横浜,1,2020RS
,堀　岡,2,6,1,2,0,0,0,大城,2020/07/05,横浜,0,2020RS
,宮　國,1.2,9,4,2,0,2,2,大城,2020/07/05,横浜,0,2020RS
,藤　岡,0.2,5,2,1,1,0,0,大城,2020/07/05,横浜,0,2020RS
,鍵　谷,0.2,2,0,0,0,0,0,大城,2020/07/05,横浜,0,2020RS
,澤　村,1,5,1,1,1,0,0,大城,2020/07/05,横浜,0,2020RS
,デラロサ,0,1,1,0,0,1,1,大城,2020/07/05,横浜,0,2020RS
,高　木,1,3,0,2,0,0,0,大城,2020/07/05,横浜,0,2020RS
L,メルセデス,6.2,26,5,8,1,2,2,大城,2020/07/09,阪神,1,2020RS
,ビエイラ,0.2,5,2,0,2,0,0,大城,2020/07/09,阪神,0,2020RS
,高　木,0.2,2,0,1,0,0,0,大城,2020/07/09,阪神,0,2020RS
L,サンチェス,5.1,23,4,8,2,4,3,大城,2020/07/11,ヤクルト,1,2020RS
,高　木,0.2,2,0,0,0,0,0,大城,2020/07/11,ヤクルト,0,2020RS
,鍵　谷,0.2,5,2,2,1,2,2,大城,2020/07/11,ヤクルト,0,2020RS
,藤　岡,0.1,1,0,1,0,0,0,大城,2020/07/11,ヤクルト,0,2020RS
,ビエイラ,1,4,2,1,0,1,1,岸田,2020/07/11,ヤクルト,0,2020RS
,鍬　原,1,7,2,1,2,2,2,岸田,2020/07/11,ヤクルト,0,2020RS
L,桜　井,4.2,22,5,3,4,3,3,炭谷,2020/07/12,ヤクルト,1,2020RS
,藤　岡,0.1,1,0,0,0,0,0,炭谷,2020/07/12,ヤクルト,0,2020RS
,宮　國,1,3,0,0,0,0,0,炭谷,2020/07/12,ヤクルト,0,2020RS
,高　木,1,3,0,0,0,0,0,炭谷,2020/07/12,ヤクルト,0,2020RS
,中　川,1,4,1,0,0,0,0,炭谷,2020/07/12,ヤクルト,0,2020RS
,澤　村,1,5,0,1,2,0,0,炭谷,2020/07/12,ヤクルト,0,2020RS
W,菅　野,5,21,4,5,2,0,0,大城,2020/07/14,広島,1,2020RS
,澤　村,1,5,2,0,0,1,1,大城,2020/07/14,広島,0,2020RS
,鍵　谷,1,5,2,1,0,1,1,大城,2020/07/14,広島,0,2020RS
,高　木,0.2,4,1,1,1,0,0,大城,2020/07/14,広島,0,2020RS
,大　竹,1.1,5,1,0,1,0,0,大城,2020/07/14,広島,0,2020RS
W,戸　郷,6,22,2,4,3,0,0,炭谷,2020/07/15,広島,1,2020RS
,藤　岡,1,3,0,1,0,0,0,岸田,2020/07/15,広島,0,2020RS
,ビエイラ,2,10,4,3,0,1,1,岸田,2020/07/15,広島,0,2020RS
W,メルセデス,6,26,6,6,3,2,2,大城,2020/07/16,広島,1,2020RS
,大　竹,1,6,2,1,1,2,2,大城,2020/07/16,広島,0,2020RS
,鍵　谷,1,3,0,0,0,0,0,大城,2020/07/16,広島,0,2020RS
,宮　國,1,4,2,0,0,0,0,炭谷,2020/07/16,広島,0,2020RS
W,今　村,5,20,6,2,1,1,1,大城,2020/07/17,横浜,1,2020RS
S,高　木,1,3,0,0,0,0,0,大城,2020/07/17,横浜,0,2020RS
W,サンチェス,8,30,5,9,1,2,1,炭谷,2020/07/18,横浜,1,2020RS
S,中　川,1,4,0,1,1,0,0,炭谷,2020/07/18,横浜,0,2020RS
,桜　井,5,22,5,1,3,3,3,大城,2020/07/19,横浜,1,2020RS
,澤　村,1,4,1,1,0,0,0,大城,2020/07/19,横浜,0,2020RS
,高　木,1,3,1,0,0,0,0,大城,2020/07/19,横浜,0,2020RS
W,大　竹,1,3,1,0,0,0,0,大城,2020/07/19,横浜,0,2020RS
S,中　川,1,4,1,0,1,0,0,大城,2020/07/19,横浜,0,2020RS
W,菅　野,9,33,3,11,2,0,0,大城,2020/07/21,中日,1,2020RS
L,戸　郷,3.2,18,5,4,3,3,3,炭谷,2020/07/22,中日,1,2020RS
,高　梨,1.1,4,0,3,0,0,0,炭谷,2020/07/22,中日,0,2020RS
,宮　國,1,3,0,1,0,0,0,炭谷,2020/07/22,中日,0,2020RS
,鍵　谷,0.1,2,1,0,0,1,1,大城,2020/07/22,中日,0,2020RS
,藤　岡,0.1,3,0,0,2,0,0,大城,2020/07/22,中日,0,2020RS
,ビエイラ,0.1,2,0,0,1,0,0,大城,2020/07/22,中日,0,2020RS
,澤　村,1,4,2,0,0,1,1,大城,2020/07/22,中日,0,2020RS
W,メルセデス,7,29,6,8,2,1,1,大城,2020/07/23,中日,1,2020RS
,大　竹,1,3,0,0,0,0,0,炭谷,2020/07/23,中日,0,2020RS
,鍵　谷,1,4,1,1,0,0,0,炭谷,2020/07/23,中日,0,2020RS
,今　村,1.2,13,5,2,3,5,5,大城,2020/07/24,ヤクルト,1,2020RS
,堀　岡,0.1,2,0,0,1,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,大　江,1,3,0,1,0,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,宮　國,2.1,9,2,1,1,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,高　梨,0.2,2,0,1,0,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,高　木,1,3,0,0,0,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,大　竹,1,3,0,0,0,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,中　川,2,6,1,1,0,0,0,大城,2020/07/24,ヤクルト,0,2020RS
,澤　村,3.1,18,4,3,3,2,2,炭谷,2020/07/25,ヤクルト,1,2020RS
,大　江,1.2,6,1,2,2,2,1,炭谷,2020/07/25,ヤクルト,0,2020RS
,堀　岡,1,7,3,1,1,1,1,炭谷,2020/07/25,ヤクルト,0,2020RS
,鍵　谷,1.1,5,1,1,0,0,0,炭谷,2020/07/25,ヤクルト,0,2020RS
,高　梨,0.2,2,0,0,0,0,0,炭谷,2020/07/25,ヤクルト,0,2020RS
L,中　川,0.1,5,2,0,2,1,1,岸田,2020/07/25,ヤクルト,0,2020RS
W,桜　井,7.2,31,6,4,4,4,4,炭谷,2020/07/26,ヤクルト,1,2020RS
,大　江,0.1,1,0,1,0,0,0,炭谷,2020/07/26,ヤクルト,0,2020RS
,田中豊,1,3,0,0,0,0,0,炭谷,2020/07/26,ヤクルト,0,2020RS
W,菅　野,7,30,7,7,2,2,1,大城,2020/07/28,横浜,1,2020RS
,高　梨,1,3,0,0,0,0,0,大城,2020/07/28,横浜,0,2020RS
,大　竹,0.1,2,1,0,0,0,0,大城,2020/07/28,横浜,0,2020RS
S,中　川,0.2,3,1,1,0,0,0,大城,2020/07/28,横浜,0,2020RS
L,戸　郷,5,19,4,7,1,3,3,炭谷,2020/07/29,横浜,1,2020RS
,大　江,1,3,0,2,0,0,0,炭谷,2020/07/29,横浜,0,2020RS
,田中豊,1,3,0,0,0,0,0,大城,2020/07/29,横浜,0,2020RS
,大　竹,1,3,0,0,0,0,0,大城,2020/07/29,横浜,0,2020RS
,高　梨,1,3,0,2,0,0,0,大城,2020/07/29,横浜,0,2020RS
L,メルセデス,6.2,26,5,3,2,2,2,大城,2020/07/30,横浜,1,2020RS
,大　江,0.1,1,0,0,0,0,0,大城,2020/07/30,横浜,0,2020RS
,大　江,1,3,0,1,0,0,0,炭谷,2020/07/30,横浜,0,2020RS
,田中豊,1,6,3,0,0,2,2,炭谷,2020/07/30,横浜,0,2020RS
,畠,4.1,15,1,3,1,1,1,炭谷,2020/07/31,広島,1,2020RS
,鍵　谷,0.2,2,0,1,0,0,0,炭谷,2020/07/31,広島,0,2020RS
W,大　江,1,4,0,0,1,0,0,炭谷,2020/07/31,広島,0,2020RS
,大　竹,1,6,2,2,1,0,0,炭谷,2020/07/31,広島,0,2020RS
,高　梨,1,3,0,1,0,0,0,炭谷,2020/07/31,広島,0,2020RS
S,中　川,1,3,0,1,0,0,0,炭谷,2020/07/31,広島,0,2020RS
W,田　口,7,29,7,3,2,2,2,岸田,2020/08/01,広島,1,2020RS
,宮　國,1,4,1,3,0,1,1,岸田,2020/08/01,広島,0,2020RS
,堀　岡,1,3,0,1,0,0,0,岸田,2020/08/01,広島,0,2020RS
L,桜　井,2.1,16,7,1,1,5,5,大城,2020/08/02,広島,1,2020RS
,大　江,2.2,10,2,4,1,0,0,大城,2020/08/02,広島,0,2020RS
,高　木,1,6,2,1,1,1,1,大城,2020/08/02,広島,0,2020RS
,田中豊,1,7,1,0,3,3,3,大城,2020/08/02,広島,0,2020RS
,宮　國,1,4,1,2,0,0,0,大城,2020/08/02,広島,0,2020RS
,堀　岡,1,3,0,1,0,0,0,岸田,2020/08/02,広島,0,2020RS
W,菅　野,7,26,6,3,1,2,2,大城,2020/08/04,阪神,1,2020RS
,高　梨,1,3,0,1,0,0,0,岸田,2020/08/04,阪神,0,2020RS
,鍵　谷,1,5,2,0,0,0,0,岸田,2020/08/04,阪神,0,2020RS
W,戸　郷,7,26,4,10,2,1,1,炭谷,2020/08/05,阪神,1,2020RS
,高　梨,0.2,3,1,0,0,0,0,炭谷,2020/08/05,阪神,0,2020RS
,大　竹,0.1,2,0,0,1,0,0,炭谷,2020/08/05,阪神,0,2020RS
S,中　川,1,3,0,1,0,0,0,炭谷,2020/08/05,阪神,0,2020RS
L,メルセデス,3.2,18,4,3,3,4,4,大城,2020/08/06,阪神,1,2020RS
,沼　田,0.1,2,1,0,0,0,0,大城,2020/08/06,阪神,0,2020RS
,宮　國,2,6,0,4,0,0,0,大城,2020/08/06,阪神,0,2020RS
,田中豊,1,3,0,1,0,0,0,大城,2020/08/06,阪神,0,2020RS
,堀　岡,0.1,8,4,0,2,7,6,大城,2020/08/06,阪神,0,2020RS
,増田大,0.2,3,0,0,1,0,0,大城,2020/08/06,阪神,0,2020RS
L,田　口,5,23,7,5,1,5,5,岸田,2020/08/07,中日,1,2020RS
,沼　田,1,7,1,0,3,2,2,大城,2020/08/07,中日,0,2020RS
,田中豊,1,4,1,0,0,0,0,大城,2020/08/07,中日,0,2020RS
,大　江,1,3,0,1,0,0,0,大城,2020/08/07,中日,0,2020RS
L,畠,7,28,4,7,3,3,3,炭谷,2020/08/08,中日,1,2020RS
,高　梨,1,4,1,0,0,0,0,炭谷,2020/08/08,中日,0,2020RS
,宮　國,2,9,2,0,1,2,2,大城,2020/08/09,中日,1,2020RS
,今　村,2,11,2,2,2,0,0,大城,2020/08/09,中日,0,2020RS
,鍵　谷,0.2,2,0,1,0,0,0,大城,2020/08/09,中日,0,2020RS
,大　江,1.1,4,1,0,0,0,0,大城,2020/08/09,中日,0,2020RS
,高　梨,1,3,0,0,0,0,0,大城,2020/08/09,中日,0,2020RS
,大　竹,1,4,1,2,0,0,0,大城,2020/08/09,中日,0,2020RS
,中　川,1,3,0,0,0,0,0,炭谷,2020/08/09,中日,0,2020RS
,田中豊,1,3,0,2,0,0,0,炭谷,2020/08/09,中日,0,2020RS
W,菅　野,7,28,6,5,1,1,1,大城,2020/08/12,ヤクルト,1,2020RS
,大　江,1,4,0,1,1,0,0,岸田,2020/08/12,ヤクルト,0,2020RS
,ビエイラ,1,5,1,1,1,0,0,岸田,2020/08/12,ヤクルト,0,2020RS
,メルセデス,6,29,8,4,3,3,3,大城,2020/08/13,ヤクルト,1,2020RS
,高　梨,1,4,0,0,1,0,0,大城,2020/08/13,ヤクルト,0,2020RS
,大　竹,0.2,4,1,1,1,0,0,大城,2020/08/13,ヤクルト,0,2020RS
W,中　川,1.1,4,0,2,0,0,0,大城,2020/08/13,ヤクルト,0,2020RS
W,戸　郷,5.2,22,4,7,1,0,0,炭谷,2020/08/14,中日,1,2020RS
,大　江,0.1,1,0,0,0,0,0,炭谷,2020/08/14,中日,0,2020RS
,大　竹,1,3,0,1,0,0,0,炭谷,2020/08/14,中日,0,2020RS
,鍵　谷,1,5,2,1,0,1,1,炭谷,2020/08/14,中日,0,2020RS
,ビエイラ,1,3,0,1,0,0,0,炭谷,2020/08/14,中日,0,2020RS
L,田　口,4,16,4,3,1,3,3,大城,2020/08/15,中日,1,2020RS
,田中豊,1.2,8,1,2,2,0,0,大城,2020/08/15,中日,0,2020RS
,大　江,0.1,1,0,1,0,0,0,大城,2020/08/15,中日,0,2020RS
,宮　國,2,11,2,0,3,4,4,大城,2020/08/15,中日,0,2020RS
,鍵　谷,1,5,2,2,0,0,0,大城,2020/08/15,中日,0,2020RS
L,畠,6,23,6,5,0,4,4,炭谷,2020/08/16,中日,1,2020RS
,大　竹,1,3,0,0,0,0,0,炭谷,2020/08/16,中日,0,2020RS
,デラロサ,1,5,1,3,1,0,0,炭谷,2020/08/16,中日,0,2020RS
,ビエイラ,1,5,1,0,1,0,0,大城,2020/08/16,中日,0,2020RS
W,菅　野,9,31,3,7,1,0,0,大城,2020/08/18,阪神,1,2020RS
,メルセデス,2,8,1,0,2,0,0,大城,2020/08/19,阪神,1,2020RS
W,田中豊,2,8,1,1,1,0,0,大城,2020/08/19,阪神,0,2020RS
,大　江,1,3,0,0,0,0,0,大城,2020/08/19,阪神,0,2020RS
,大　竹,1,3,1,1,0,0,0,大城,2020/08/19,阪神,0,2020RS
,高　梨,1,4,0,1,1,0,0,大城,2020/08/19,阪神,0,2020RS
,中　川,1,4,1,0,0,0,0,岸田,2020/08/19,阪神,0,2020RS
,ビエイラ,1,5,0,2,2,0,0,岸田,2020/08/19,阪神,0,2020RS
W,戸　郷,6.2,25,3,11,2,0,0,炭谷,2020/08/20,阪神,1,2020RS
,高　梨,0.1,2,0,1,1,0,0,炭谷,2020/08/20,阪神,0,2020RS
,中　川,1,4,1,0,0,0,0,炭谷,2020/08/20,阪神,0,2020RS
S,デラロサ,1,5,0,0,2,0,0,炭谷,2020/08/20,阪神,0,2020RS
L,田　口,6,28,8,5,2,6,6,大城,2020/08/21,広島,1,2020RS
,鍵　谷,1,3,0,2,0,0,0,岸田,2020/08/21,広島,0,2020RS
,宮　國,1,6,3,0,0,1,1,岸田,2020/08/21,広島,0,2020RS
L,畠,2.1,13,2,3,5,5,5,炭谷,2020/08/22,広島,1,2020RS
,田中豊,0.2,7,3,0,2,2,2,炭谷,2020/08/22,広島,0,2020RS
,大　江,1,7,2,1,2,3,3,炭谷,2020/08/22,広島,0,2020RS
,大　江,1,4,0,0,1,0,0,岸田,2020/08/22,広島,0,2020RS
,ビエイラ,2,7,1,4,0,0,0,岸田,2020/08/22,広島,0,2020RS
,鍵　谷,1,3,0,0,0,0,0,岸田,2020/08/22,広島,0,2020RS
,直　江,4,15,3,5,1,1,1,大城,2020/08/23,広島,1,2020RS
,桜　井,2.1,10,3,0,0,0,0,大城,2020/08/23,広島,0,2020RS
,高　梨,0.2,1,0,0,0,0,0,大城,2020/08/23,広島,0,2020RS
L,大　竹,0.1,3,1,1,1,1,1,大城,2020/08/23,広島,0,2020RS
,中　川,0.2,3,0,1,1,0,0,大城,2020/08/23,広島,0,2020RS
W,菅　野,7,24,5,6,0,2,2,大城,2020/08/25,ヤクルト,1,2020RS
,田中豊,1,4,1,1,0,0,0,岸田,2020/08/25,ヤクルト,0,2020RS
,ビエイラ,0.1,4,2,0,1,2,2,岸田,2020/08/25,ヤクルト,0,2020RS
,デラロサ,0.2,3,1,0,0,0,0,岸田,2020/08/25,ヤクルト,0,2020RS
,ディプラン,1,7,3,1,1,3,3,岸田,2020/08/26,ヤクルト,1,2020RS
,大　江,2,7,1,0,0,0,0,岸田,2020/08/26,ヤクルト,0,2020RS
,桜　井,1,6,3,1,0,2,2,岸田,2020/08/26,ヤクルト,0,2020RS
W,高　梨,1,4,0,1,1,0,0,岸田,2020/08/26,ヤクルト,0,2020RS
,高　梨,1,3,0,2,1,0,0,炭谷,2020/08/26,ヤクルト,0,2020RS
,中　川,1.1,4,0,2,0,0,0,炭谷,2020/08/26,ヤクルト,0,2020RS
,大　竹,0.2,2,0,1,0,0,0,炭谷,2020/08/26,ヤクルト,0,2020RS
,鍵　谷,1,3,0,1,0,0,0,炭谷,2020/08/26,ヤクルト,0,2020RS
W,戸　郷,5,23,4,4,5,0,0,炭谷,2020/08/27,ヤクルト,1,2020RS
,大　江,0.2,3,1,0,0,1,1,炭谷,2020/08/27,ヤクルト,0,2020RS
,鍵　谷,0.1,2,1,0,0,0,0,炭谷,2020/08/27,ヤクルト,0,2020RS
,高　梨,0.2,3,1,0,0,1,1,炭谷,2020/08/27,ヤクルト,0,2020RS
,大　竹,1.1,4,0,1,0,0,0,炭谷,2020/08/27,ヤクルト,0,2020RS
S,デラロサ,1,4,1,1,0,0,0,炭谷,2020/08/27,ヤクルト,0,2020RS
,田　口,6,29,5,1,7,3,3,炭谷,2020/08/28,中日,1,2020RS
L,鍵　谷,0.2,6,1,1,3,2,2,炭谷,2020/08/28,中日,0,2020RS
,大　江,0.1,1,0,1,0,0,0,炭谷,2020/08/28,中日,0,2020RS
,田中豊,1,3,0,0,0,0,0,炭谷,2020/08/28,中日,0,2020RS
,桜　井,1,3,0,0,0,0,0,岸田,2020/08/28,中日,0,2020RS
W,今　村,7,28,6,8,2,1,1,大城,2020/08/29,中日,1,2020RS
,田中豊,1,6,2,2,1,2,2,岸田,2020/08/29,中日,0,2020RS
,沼　田,1,3,0,1,0,0,0,岸田,2020/08/29,中日,0,2020RS
,直　江,3.2,15,3,4,1,1,1,大城,2020/08/30,中日,1,2020RS
W,大　江,0.1,1,0,1,0,0,0,大城,2020/08/30,中日,0,2020RS
,桜　井,1,5,1,0,0,1,0,大城,2020/08/30,中日,0,2020RS
,高　梨,1,4,0,1,1,0,0,大城,2020/08/30,中日,0,2020RS
,大　竹,1,4,0,0,1,0,0,大城,2020/08/30,中日,0,2020RS
,中　川,1,3,0,1,0,0,0,大城,2020/08/30,中日,0,2020RS
S,デラロサ,1,5,0,1,3,0,0,大城,2020/08/30,中日,0,2020RS
,菅　野,7.2,30,4,10,2,2,1,大城,2020/09/01,横浜,1,2020RS
,中　川,0.1,2,1,0,0,0,0,大城,2020/09/01,横浜,0,2020RS
