wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,戸郷 翔征,5,69,21,4,0,2,1,0,0,4,2,甲斐,2025/03/28,ヤクルト,1,2025RS
,堀田 賢慎,2,30,9,4,1,1,0,0,0,1,1,甲斐,2025/03/28,ヤクルト,0,2025RS
,泉 圭輔,2,25,6,0,0,2,0,0,0,0,0,甲斐,2025/03/28,ヤクルト,0,2025RS
W,マルティネス,1,8,3,0,0,0,0,0,0,0,0,甲斐,2025/03/28,ヤクルト,0,2025RS
W,赤星 優志,5,64,15,1,0,5,0,0,0,0,0,甲斐,2025/03/29,ヤクルト,1,2025RS
,船迫 大雅,1,11,4,1,0,0,0,0,0,0,0,甲斐,2025/03/29,ヤクルト,0,2025RS
,高梨 雄平,1,14,3,0,0,1,0,0,0,0,0,岸田,2025/03/29,ヤクルト,0,2025RS
,田中 瑛斗,1,12,4,1,0,0,0,0,0,0,0,岸田,2025/03/29,ヤクルト,0,2025RS
,横川 凱,1,8,3,0,0,1,0,0,0,0,0,岸田,2025/03/29,ヤクルト,0,2025RS
W,石川 達也,5,89,20,3,0,4,2,0,0,0,0,甲斐,2025/03/30,ヤクルト,1,2025RS
H,田中 瑛斗,1,15,4,1,0,1,0,0,0,0,0,甲斐,2025/03/30,ヤクルト,0,2025RS
H,バルドナード,0.1,17,2,1,0,0,0,0,0,0,0,甲斐,2025/03/30,ヤクルト,0,2025RS
H,船迫 大雅,0.2,6,1,0,0,1,0,0,0,0,0,甲斐,2025/03/30,ヤクルト,0,2025RS
H,大勢,1,15,4,1,0,2,0,0,0,0,0,甲斐,2025/03/30,ヤクルト,0,2025RS
S,マルティネス,1,18,5,1,0,1,1,0,0,0,0,甲斐,2025/03/30,ヤクルト,0,2025RS
