wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,伊藤 大海,5.2,90,27,9,3,4,0,0,0,5,5,田宮,2026/03/27,ソフトバンク,1,2026RS
,上原 健太,1.1,18,5,0,0,2,1,0,0,0,0,田宮,2026/03/27,ソフトバンク,0,2026RS
L,古林 睿煬,0.2,24,6,2,0,1,2,0,0,1,1,田宮,2026/03/27,ソフトバンク,0,2026RS
,島本 浩也,0.1,3,1,0,0,0,0,0,0,0,0,田宮,2026/03/27,ソフトバンク,0,2026RS
L,達 孝太,4.2,93,23,6,0,4,2,1,0,5,5,田宮,2026/03/28,ソフトバンク,1,2026RS
,池田 隆英,0.1,1,1,0,0,0,0,0,0,0,0,田宮,2026/03/28,ソフトバンク,0,2026RS
,山崎 福也,1,13,4,1,0,0,0,0,0,0,0,田宮,2026/03/28,ソフトバンク,0,2026RS
,山本 拓実,1,13,3,0,0,0,0,0,0,0,0,田宮,2026/03/28,ソフトバンク,0,2026RS
,福谷 浩司,1,17,4,1,1,0,0,0,0,1,1,清水優,2026/03/28,ソフトバンク,0,2026RS
L,有原 航平,6,112,30,10,0,5,2,1,0,7,5,田宮,2026/03/29,ソフトバンク,1,2026RS
,山崎 福也,1,15,5,2,0,1,1,0,0,0,0,田宮,2026/03/29,ソフトバンク,0,2026RS
,山本 拓実,1,21,5,1,0,1,1,0,0,1,1,田宮,2026/03/29,ソフトバンク,0,2026RS
W,細野 晴希,9,128,29,0,0,12,1,1,0,0,0,田宮,2026/03/31,ロッテ,1,2026RS
