wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
L,宮城 大弥,1.2,56,15,8,0,2,1,0,0,8,2,森,2026/03/27,楽天,1,2026RS
,東松 快征,0.1,18,3,0,0,1,2,0,0,0,0,森,2026/03/27,楽天,0,2026RS
,寺西 成騎,6,84,23,6,0,4,0,0,0,2,2,森,2026/03/27,楽天,0,2026RS
,横山 楓,1,21,5,2,0,1,0,0,0,0,0,森,2026/03/27,楽天,0,2026RS
W,九里 亜蓮,9,132,31,4,0,12,0,1,0,0,0,若月,2026/03/28,楽天,1,2026RS
,田嶋 大樹,1,19,6,3,0,0,0,0,0,2,2,若月,2026/03/29,楽天,1,2026RS
H,横山 楓,1,17,5,1,0,2,1,0,0,0,0,若月,2026/03/29,楽天,0,2026RS
W,山崎 颯一郎,2,26,6,0,0,2,0,0,0,0,0,若月,2026/03/29,楽天,0,2026RS
H,平野 佳寿,1,16,4,1,1,1,0,0,0,1,1,若月,2026/03/29,楽天,0,2026RS
H,古田島 成龍,1,22,5,2,0,1,0,0,0,1,1,若月,2026/03/29,楽天,0,2026RS
H,ペルドモ,1,7,3,0,0,1,0,0,0,0,0,若月,2026/03/29,楽天,0,2026RS
H,椋木 蓮,1,14,3,0,0,1,0,0,0,0,0,若月,2026/03/29,楽天,0,2026RS
S,マチャド,1,11,4,1,0,0,0,0,0,0,0,若月,2026/03/29,楽天,0,2026RS
