wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,吉村 貢司郎,5.1,93,21,5,1,7,0,0,0,2,2,古賀,2026/03/27,DeNA,1,2026RS
H,大西 広樹,0.2,3,2,0,0,0,0,0,0,0,0,古賀,2026/03/27,DeNA,0,2026RS
H,木澤 尚文,1,16,3,0,0,1,0,1,0,0,0,古賀,2026/03/27,DeNA,0,2026RS
H,星 知弥,1,22,5,1,0,0,1,0,0,0,0,古賀,2026/03/27,DeNA,0,2026RS
S,キハダ,1,14,4,0,0,2,1,0,0,0,0,古賀,2026/03/27,DeNA,0,2026RS
W,山野 太一,7,101,29,8,0,4,1,0,0,2,2,鈴木叶,2026/03/28,DeNA,1,2026RS
H,リランソ,1,13,3,0,0,1,0,0,0,0,0,鈴木叶,2026/03/28,DeNA,0,2026RS
S,キハダ,1,20,4,1,0,1,0,0,0,0,0,鈴木叶,2026/03/28,DeNA,0,2026RS
,高梨 裕稔,6,96,25,5,1,6,2,0,0,1,1,古賀,2026/03/29,DeNA,1,2026RS
W,荘司 宏太,1,24,6,3,0,1,0,0,0,1,1,古賀,2026/03/29,DeNA,0,2026RS
H,木澤 尚文,1,23,5,0,0,1,2,0,0,0,0,古賀,2026/03/29,DeNA,0,2026RS
S,星 知弥,1,18,6,3,0,1,0,0,0,1,1,古賀,2026/03/29,DeNA,0,2026RS
