position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中右),中川 圭太,.000,4,0,0,0,1,0,0,0,0,0,0,遊飛,,空三振,,遊ゴロ,,,左飛,,,,,2025/03/28,楽天,1,2025RS
(三),宗 佑磨,.250,4,0,1,0,0,0,0,0,0,0,0,三飛,,二ゴロ,,,右飛,,右安,,,,,2025/03/28,楽天,1,2025RS
(遊),紅林 弘太郎,.000,4,0,0,0,0,0,0,0,0,0,0,遊ゴロ,,二ゴロ,,,右飛,,右飛,,,,,2025/03/28,楽天,1,2025RS
(右),杉本 裕太郎,.250,4,0,1,0,1,0,0,0,0,0,0,,空三振,,左飛,,一邪飛,,右安,,,,,2025/03/28,楽天,1,2025RS
走中,廣岡 大志,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,楽天,0,2025RS
(左),西川 龍馬,.750,4,1,3,0,0,0,0,0,1,0,0,,二安,,中安,,,中安,中飛,,,,,2025/03/28,楽天,1,2025RS
(二一),太田 椋,.333,3,1,1,2,1,0,0,1,0,0,1,,左本,,中飛,,,一犠打,,空三振,,,,2025/03/28,楽天,1,2025RS
(指),オリバレス,.250,4,0,1,0,2,0,0,0,0,0,0,,三ゴロ,,空三振,,,見三振,,三安,,,,2025/03/28,楽天,1,2025RS
走指,麦谷 祐介,-,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,楽天,0,2025RS
(一),頓宮 裕真,.500,2,0,1,0,1,1,0,0,0,0,0,,左安,,,見三振,,四球,,,,,,2025/03/28,楽天,1,2025RS
走二,大城 滉二,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,投犠打,,,,2025/03/28,楽天,0,2025RS
(捕),若月 健矢,.250,4,0,1,1,0,0,0,0,0,0,0,,三ゴロ,,,左飛,,中飛,,中２,,,,2025/03/28,楽天,1,2025RS
(中右中右),中川 圭太,.000,4,0,0,0,0,1,0,0,0,0,0,遊ゴロ,,四球,,右飛,,一飛,,,遊ゴロ,,,2025/03/29,楽天,1,2025RS
(三),宗 佑磨,.333,5,2,2,0,1,0,0,0,0,0,0,見三振,,左飛,,,三飛,,中安,,中２,,,2025/03/29,楽天,1,2025RS
(遊),紅林 弘太郎,.333,5,0,3,0,0,0,0,0,0,0,0,中安,,三ゴロ,,,中安,,左２,,右飛,,,2025/03/29,楽天,1,2025RS
(右),杉本 裕太郎,.286,3,0,1,1,0,0,0,0,0,0,0,右安,,二直,,,右飛,,右犠飛,,,,,2025/03/29,楽天,1,2025RS
中右中,廣岡 大志,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,楽天,0,2025RS
打,西野 真弘,1.000,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,右３,,,2025/03/29,楽天,0,2025RS
(左),西川 龍馬,.556,5,0,2,1,0,0,0,0,0,0,0,中飛,,,右飛,,中安,,左飛,,中２,,,2025/03/29,楽天,1,2025RS
走,麦谷 祐介,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,楽天,0,2025RS
(二),太田 椋,.125,5,0,0,0,2,0,0,0,0,0,0,,遊ゴロ,,空三振,,一邪飛,,見三振,,中飛,,,2025/03/29,楽天,1,2025RS
(指),オリバレス,.143,3,0,0,0,0,0,0,0,0,0,0,,中飛,,右飛,,,一飛,,,,,,2025/03/29,楽天,1,2025RS
打指,福田 周平,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,二ゴロ,,,,2025/03/29,楽天,0,2025RS
(一),頓宮 裕真,.333,4,1,1,1,1,0,0,0,0,0,1,,遊失,,,空三振,,左本,,遊ゴロ,,,,2025/03/29,楽天,1,2025RS
(捕),若月 健矢,.125,4,0,0,0,1,0,0,0,0,0,0,,二ゴロ,,,右飛,,空三振,,三ゴロ,,,,2025/03/29,楽天,1,2025RS
(中左),福田 周平,.200,4,0,1,0,0,1,0,0,0,0,0,左安,中飛,,,遊ゴロ,中飛,,四球,,,,,2025/03/30,楽天,1,2025RS
(二一),太田 椋,.385,5,1,4,2,1,0,0,0,0,0,0,左安,左安,,,左安,,見三振,右安,,,,,2025/03/30,楽天,1,2025RS
(左),西川 龍馬,.417,3,0,0,0,1,0,1,0,0,0,0,二併打,空三振,,,一邪飛,,死球,,,,,,2025/03/30,楽天,1,2025RS
中,廣岡 大志,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,一邪飛,,,,,2025/03/30,楽天,0,2025RS
(指),杉本 裕太郎,.273,4,1,1,2,2,0,0,0,0,0,1,空三振,,三ゴロ,,左本,,空三振,,,,,,2025/03/30,楽天,1,2025RS
(遊),紅林 弘太郎,.462,4,1,3,0,0,0,0,0,0,0,0,,右２,左安,,右飛,,中安,,,,,,2025/03/30,楽天,1,2025RS
(一),頓宮 裕真,.400,4,1,2,1,1,0,0,0,0,0,0,,中２,空三振,,,左安,中飛,,,,,,2025/03/30,楽天,1,2025RS
二,大城 滉二,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,楽天,0,2025RS
(右),中川 圭太,.250,4,2,3,0,0,0,0,0,0,0,0,,左安,,遊飛,,左安,,左安,,,,,2025/03/30,楽天,1,2025RS
(三),西野 真弘,.500,3,0,1,0,0,0,0,1,0,0,0,,一邪飛,,二安,,投犠打,,遊ゴロ,,,,,2025/03/30,楽天,1,2025RS
(捕),福永 奨,.500,2,0,1,1,0,0,0,0,0,0,0,,中安,,遊飛,,,,,,,,,2025/03/30,楽天,1,2025RS
打,オリバレス,.125,1,0,0,0,0,0,0,0,0,0,0,,,,,,三ゴロ,,,,,,,2025/03/30,楽天,0,2025RS
捕,若月 健矢,.111,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2025/03/30,楽天,0,2025RS
(右),中川 圭太,.250,4,1,1,0,2,0,0,0,0,0,0,空三振,,,右安,空三振,,一飛,,,,,,2025/04/02,ロッテ,1,2025RS
(中左),福田 周平,.125,3,0,0,0,0,0,0,1,0,0,0,左飛,,,一犠打,,一ゴロ,一ゴロ,,,,,,2025/04/02,ロッテ,1,2025RS
(左),西川 龍馬,.500,4,0,3,0,1,0,0,0,0,0,0,空三振,,,左安,,右安,,左２,,,,,2025/04/02,ロッテ,1,2025RS
走中,廣岡 大志,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,ロッテ,0,2025RS
(指),杉本 裕太郎,.267,4,0,1,0,1,0,0,0,1,0,0,,一邪飛,,二飛,,右安,,空三振,,,,,2025/04/02,ロッテ,1,2025RS
(遊),紅林 弘太郎,.471,4,0,2,1,0,0,0,0,0,0,0,,中安,,遊安,,中飛,,遊ゴロ,,,,,2025/04/02,ロッテ,1,2025RS
(一),頓宮 裕真,.286,4,0,0,0,0,0,0,0,0,0,0,,三併打,,中飛,,三ゴロ,,左飛,,,,,2025/04/02,ロッテ,1,2025RS
二,大城 滉二,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,ロッテ,0,2025RS
(二一),太田 椋,.313,3,0,0,0,2,1,0,0,0,1,0,,,遊ゴロ,,四球,,空三振,,見三振,,,,2025/04/02,ロッテ,1,2025RS
(捕),若月 健矢,.167,3,1,1,0,0,0,0,1,0,1,0,,,三ゴロ,,投犠打,,中安,,中飛,,,,2025/04/02,ロッテ,1,2025RS
(三),西野 真弘,.375,4,1,1,2,1,0,0,0,0,1,1,,,三ゴロ,,遊ゴロ,,右本,,空三振,,,,2025/04/02,ロッテ,1,2025RS
