position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中),近本 光司,.750,4,1,3,0,0,1,0,0,0,0,0,遊ゴロ,,中安,,四球,,,左２,左安,,,,2025/03/28,広島,1,2025RS
(二),中野 拓夢,.000,4,1,0,0,2,1,0,0,0,0,0,四球,,空三振,,空三振,,,投ゴロ,左飛,,,,2025/03/28,広島,1,2025RS
(三),佐藤 輝明,.250,4,1,1,2,2,0,0,0,0,0,1,右本,,見三振,,,一ゴロ,,空三振,,,,,2025/03/28,広島,1,2025RS
(右),森下 翔太,.333,3,1,1,0,0,1,0,0,0,0,0,遊ゴロ,,,中安,,中飛,,四球,,,,,2025/03/28,広島,1,2025RS
(一),大山 悠輔,.250,4,0,1,1,0,0,0,0,0,0,0,投ゴロ,,,二併打,,遊ゴロ,,中安,,,,,2025/03/28,広島,1,2025RS
(左),前川 右京,.250,4,0,1,1,0,0,0,0,0,0,0,,遊飛,,遊ゴロ,,,二ゴロ,右安,,,,,2025/03/28,広島,1,2025RS
(捕),坂本 誠志郎,.333,3,0,1,0,1,1,0,0,0,0,0,,右飛,,,四球,,左安,空三振,,,,,2025/03/28,広島,1,2025RS
(遊),木浪 聖也,.000,4,0,0,0,0,0,0,0,0,1,0,,遊ゴロ,,,捕ゴロ,,一ゴロ,,遊直,,,,2025/03/28,広島,1,2025RS
(投),村上 頌樹,.000,4,0,0,0,4,0,0,0,0,0,0,,,見三振,,バ三振,,空三振,,見三振,,,,2025/03/28,広島,1,2025RS
投,岩崎 優,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,広島,0,2025RS
(中),近本 光司,.500,4,1,1,0,1,1,0,0,0,0,0,空三振,,一ゴロ,,,中安,故意四,,中飛,,,,2025/03/29,広島,1,2025RS
(二),中野 拓夢,.000,3,0,0,0,0,0,0,1,0,0,0,遊ゴロ,,,中飛,,投犠打,左飛,,,,,,2025/03/29,広島,1,2025RS
(三),佐藤 輝明,.125,4,0,0,0,3,0,0,0,0,0,0,空三振,,,空三振,,投ゴロ,,空三振,,,,,2025/03/29,広島,1,2025RS
(右),森下 翔太,.429,4,1,2,2,0,0,0,0,0,0,1,,右飛,,右飛,,左本,,右安,,,,,2025/03/29,広島,1,2025RS
(一),大山 悠輔,.250,4,0,1,0,0,0,0,0,0,0,0,,左飛,,,遊ゴロ,遊安,,遊ゴロ,,,,,2025/03/29,広島,1,2025RS
