position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(左),桑原 将志,.250,4,0,1,0,0,0,0,0,0,0,0,二飛,,右安,,左飛,,,右飛,,,,,2026/03/27,ロッテ,1,2026RS
(一),長谷川 信哉,.500,4,0,2,0,1,0,0,0,1,0,0,中安,,右邪飛,,,空三振,,中安,,,,,2026/03/27,ロッテ,1,2026RS
(中),西川 愛也,.250,4,0,1,0,0,0,0,0,0,0,0,中飛,,,右２,,一ゴロ,,遊併打,,,,,2026/03/27,ロッテ,1,2026RS
(右),カナリオ,.000,4,0,0,0,2,0,0,0,0,0,0,遊ゴロ,,,捕飛,,空三振,,,空三振,,,,2026/03/27,ロッテ,1,2026RS
(指),外崎 修汰,.000,3,0,0,0,0,1,0,0,0,0,0,,遊ゴロ,,四球,,,遊ゴロ,,三ゴロ,,,,2026/03/27,ロッテ,1,2026RS
(三),渡部 聖弥,.250,4,1,1,0,1,0,0,0,0,0,0,,右飛,,三ゴロ,,,投安,,空三振,,,,2026/03/27,ロッテ,1,2026RS
(遊),源田 壮亮,.333,3,0,1,0,2,0,0,0,0,0,0,,空三振,,空三振,,,一安,,,,,,2026/03/27,ロッテ,1,2026RS
(二),滝澤 夏央,.000,2,0,0,0,0,0,0,0,0,0,0,,,二ゴロ,,遊ゴロ,,,,,,,,2026/03/27,ロッテ,1,2026RS
打,岸 潤一郎,-,0,0,0,1,0,0,0,0,0,0,0,,,,,,,右犠飛,,,,,,2026/03/27,ロッテ,0,2026RS
二,石井 一成,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,ロッテ,0,2026RS
(捕),小島 大河,.333,3,0,1,0,0,0,0,0,0,0,0,,,右安,,右飛,,左飛,,,,,,2026/03/27,ロッテ,1,2026RS
(左),桑原 将志,.143,3,0,0,0,1,0,1,0,0,0,0,遊ゴロ,,空三振,,死球,,左飛,,,,,,2026/03/28,ロッテ,1,2026RS
左,仲田 慶介,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/28,ロッテ,0,2026RS
(右),長谷川 信哉,.250,4,0,0,0,2,0,0,0,0,0,0,見三振,,空三振,,三失,,,遊飛,,,,,2026/03/28,ロッテ,1,2026RS
(中),西川 愛也,.125,4,0,0,0,0,0,0,0,0,0,0,左飛,,,遊ゴロ,遊ゴロ,,,右飛,,,,,2026/03/28,ロッテ,1,2026RS
(指),林 安可,.250,4,0,1,0,0,0,0,0,0,0,0,,左飛,,左安,,捕邪飛,,遊ゴロ,,,,,2026/03/28,ロッテ,1,2026RS
(一),山村 崇嘉,.000,4,0,0,0,1,0,0,0,0,0,0,,見三振,,左飛,,一ゴロ,,,三ゴロ,,,,2026/03/28,ロッテ,1,2026RS
(三),渡部 聖弥,.375,4,0,2,0,0,0,0,0,0,1,0,,右安,,三ゴロ,,二安,,,二ゴロ,,,,2026/03/28,ロッテ,1,2026RS
(二),石井 一成,.000,4,0,0,0,1,0,0,0,0,0,0,,投ゴロ,,,遊飛,見三振,,,左飛,,,,2026/03/28,ロッテ,1,2026RS
(捕),古賀 悠斗,.333,3,0,1,0,1,0,0,0,0,0,0,,,右２,,中飛,,空三振,,,,,,2026/03/28,ロッテ,1,2026RS
(遊),源田 壮亮,.333,3,0,1,0,0,0,0,0,0,0,0,,,二ゴロ,,右安,,右飛,,,,,,2026/03/28,ロッテ,1,2026RS
遊,滝澤 夏央,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/28,ロッテ,0,2026RS
(左),桑原 将志,.273,4,1,2,0,0,0,1,0,1,0,0,中安,左２,,中飛,,死球,,二飛,,,,,2026/03/29,ロッテ,1,2026RS
(一),長谷川 信哉,.273,3,2,1,0,0,1,1,0,0,0,0,四球,三ゴロ,,,死球,三直,,,三安,,,,2026/03/29,ロッテ,1,2026RS
(中),西川 愛也,.154,5,0,1,0,2,0,0,0,0,0,0,空三振,空三振,,,投安,右飛,,,右飛,,,,2026/03/29,ロッテ,1,2026RS
(指),林 安可,.250,4,0,1,1,1,0,1,0,0,0,0,死球,,二ゴロ,,遊ゴロ,,空三振,,右２,,,,2026/03/29,ロッテ,1,2026RS
走指,仲田 慶介,-,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/29,ロッテ,0,2026RS
(二),外崎 修汰,.000,3,0,0,1,1,0,0,0,0,0,0,中犠飛,,遊ゴロ,,空三振,,右飛,,,,,,2026/03/29,ロッテ,1,2026RS
遊,源田 壮亮,.429,1,0,1,2,0,0,0,0,0,0,0,,,,,,,,,投安,,,,2026/03/29,ロッテ,0,2026RS
(三),渡部 聖弥,.417,4,0,2,0,0,1,0,0,0,0,0,四球,,左飛,,三ゴロ,,三安,,左安,,,,2026/03/29,ロッテ,1,2026RS
(右),カナリオ,.125,4,0,1,0,1,1,0,0,0,0,0,空三振,,,四球,,左２,捕邪飛,,一邪飛,,,,2026/03/29,ロッテ,1,2026RS
(捕),小島 大河,.375,5,0,2,0,0,0,0,0,0,0,0,,左安,,捕邪飛,,左安,,二ゴロ,遊飛,,,,2026/03/29,ロッテ,1,2026RS
(遊二),滝澤 夏央,.000,4,0,0,0,1,0,0,0,0,0,0,,左飛,,遊ゴロ,,二ゴロ,,空三振,,,,,2026/03/29,ロッテ,1,2026RS
