catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
山本,ジャクソン,2024-04-02,1,0,2024RS
山本,ジャクソン,2024-04-09,1,0,2024RS
山本,ジャクソン,2024-04-16,1,0,2024RS
山本,東,2024-04-19,0,1,2024RS
山本,ジャクソン,2024-04-29,1,0,2024RS
伊藤,徳山,2024-05-06,1,0,2024RS
山本,ケイ,2024-05-14,1,0,2024RS
伊藤,玉村,2024-05-25,1,0,2024RS
山本,ケイ,2024-05-28,1,0,2024RS
山本,徳山,2024-06-06,1,1,2024RS
山本,石田裕,2024-06-09,1,0,2024RS
山本,ウィック,2024-06-09,1,0,2024RS
山本,ケイ,2024-06-12,1,0,2024RS
山本,ジャクソン,2024-06-21,1,0,2024RS
山本,ジャクソン,2024-06-28,1,0,2024RS
伊藤,濱口,2024-07-03,0,1,2024RS
戸柱,坂本,2024-07-05,1,0,2024RS
山本,ディアス,2024-07-06,1,0,2024RS
山本,ディアス,2024-07-11,1,0,2024RS
戸柱,京山,2024-07-11,1,0,2024RS
山本,ジャクソン,2024-07-12,1,0,2024RS
伊藤,吉野,2024-07-13,1,0,2024RS
