catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
太田,鈴木 翔天,2024-03-30,1,0,2024RS
石原,渡辺 翔太,2024-03-31,0,1,2024RS
石原,荘司 康誠,2024-04-06,2,0,2024RS
石原,内 星龍,2024-04-18,1,0,2024RS
田中貴,清宮 虎多朗,2024-04-18,1,0,2024RS
石原,宋 家豪,2024-04-20,1,0,2024RS
石原,藤井 聖,2024-04-21,1,0,2024RS
石原,藤平 尚真,2024-04-23,1,0,2024RS
太田,西垣 雅矢,2024-04-23,1,0,2024RS
石原,則本 昂大,2024-05-08,0,1,2024RS
太田,早川 隆久,2024-05-10,2,0,2024RS
太田,西垣 雅矢,2024-05-10,1,0,2024RS
石原,櫻井 周斗,2024-05-12,1,0,2024RS
石原,荘司 康誠,2024-05-15,1,0,2024RS
田中貴,西垣 雅矢,2024-05-21,0,1,2024RS
太田,松井 友飛,2024-05-22,1,0,2024RS
石原,ポンセ,2024-05-28,1,0,2024RS
太田,内 星龍,2024-06-05,1,0,2024RS
太田,則本 昂大,2024-06-12,1,0,2024RS
太田,ポンセ,2024-06-22,1,0,2024RS
堀内,瀧中 瞭太,2024-06-29,1,0,2024RS
太田,早川 隆久,2024-07-12,1,0,2024RS
太田,渡辺 翔太,2024-07-21,1,0,2024RS
太田,荘司 康誠,2024-07-28,1,0,2024RS
石原,鈴木 翔天,2024-08-02,2,0,2024RS
石原,藤平 尚真,2024-08-04,0,1,2024RS
太田,早川 隆久,2024-08-06,1,0,2024RS
石原,岸 孝之,2024-08-07,1,0,2024RS
安田,西垣 雅矢,2024-08-12,1,0,2024RS
太田,藤平 尚真,2024-08-20,1,0,2024RS
石原,藤井 聖,2024-08-23,1,0,2024RS
太田,藤平 尚真,2024-08-27,1,0,2024RS
石原,藤井 聖,2024-08-30,1,0,2024RS
安田,渡辺 翔太,2024-09-01,1,0,2024RS
安田,渡辺 翔太,2024-09-22,1,0,2024RS
石原,則本 昂大,2024-09-30,1,0,2024RS
安田,ポンセ,2024-10-03,1,0,2024RS
