catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
田宮,田中 正義,2024-03-29,1,0,2024RS
田宮,加藤 貴之,2024-03-30,1,0,2024RS
田宮,北山 亘基,2024-04-11,1,0,2024RS
田宮,根本 悠楓,2024-04-14,1,0,2024RS
伏見,福島 蓮,2024-04-17,1,0,2024RS
田宮,北山 亘基,2024-04-20,0,1,2024RS
田宮,伊藤 大海,2024-05-19,0,1,2024RS
田宮,山本 拓実,2024-06-05,1,0,2024RS
伏見,河野 竜生,2024-06-07,1,0,2024RS
田宮,田中 瑛斗,2024-06-13,0,1,2024RS
伏見,山崎 福也,2024-06-14,1,0,2024RS
伏見,田中 瑛斗,2024-06-14,1,0,2024RS
進藤,細野 晴希,2024-06-18,1,0,2024RS
田宮,矢澤 宏太,2024-06-18,1,0,2024RS
田宮,河野 竜生,2024-06-26,1,0,2024RS
田宮,杉浦 稔大,2024-07-10,1,0,2024RS
田宮,齋藤 友貴哉,2024-07-15,1,0,2024RS
田宮,金村 尚真,2024-07-30,0,1,2024RS
田宮,柳川 大晟,2024-08-02,2,0,2024RS
田宮,マーフィー,2024-08-02,1,0,2024RS
伏見,宮西 尚生,2024-08-03,1,0,2024RS
伏見,河野 竜生,2024-08-03,1,0,2024RS
田宮,加藤 貴之,2024-08-08,1,0,2024RS
伏見,河野 竜生,2024-08-11,1,0,2024RS
田宮,金村 尚真,2024-08-20,1,0,2024RS
伏見,齋藤 友貴哉,2024-08-23,1,0,2024RS
伏見,伊藤 大海,2024-08-25,1,0,2024RS
田宮,杉浦 稔大,2024-09-01,2,0,2024RS
