catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
甲斐,藤井 皓哉,2024-03-31,1,0,2024RS
甲斐,石川 柊太,2024-04-05,1,0,2024RS
海野,スチュワート・ジュニア,2024-04-07,1,0,2024RS
甲斐,石川 柊太,2024-05-15,1,0,2024RS
甲斐,モイネロ,2024-05-24,1,0,2024RS
甲斐,モイネロ,2024-05-31,1,0,2024RS
海野,藤井 皓哉,2024-06-05,1,0,2024RS
甲斐,杉山 一樹,2024-06-15,1,0,2024RS
海野,大山 凌,2024-07-05,1,0,2024RS
甲斐,有原 航平,2024-07-09,1,0,2024RS
甲斐,モイネロ,2024-07-14,0,1,2024RS
甲斐,津森 宥紀,2024-07-26,1,0,2024RS
海野,松本 裕樹,2024-07-28,0,1,2024RS
甲斐,澤柳 亮太郎,2024-08-01,1,0,2024RS
甲斐,ヘルナンデス,2024-08-03,0,1,2024RS
甲斐,ヘルナンデス,2024-08-08,1,0,2024RS
海野,大津 亮介,2024-08-14,1,0,2024RS
甲斐,藤井 皓哉,2024-08-17,1,0,2024RS
甲斐,津森 宥紀,2024-08-24,0,1,2024RS
甲斐,モイネロ,2024-09-03,1,0,2024RS
甲斐,スチュワート・ジュニア,2024-09-17,1,0,2024RS
海野,尾形 崇斗,2024-09-18,0,1,2024RS
甲斐,和田 毅,2024-09-25,0,1,2024RS
