catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
古賀,ボー・タカハシ,2024-04-04,0,1,2024RS
古賀,今井 達也,2024-04-12,2,0,2024RS
古市,ヤン,2024-04-28,0,1,2024RS
古賀,今井 達也,2024-05-04,1,0,2024RS
古賀,青山 美夏人,2024-05-10,0,1,2024RS
古賀,高橋 光成,2024-05-14,1,0,2024RS
古賀,羽田 慎之介,2024-05-14,0,1,2024RS
炭谷,隅田 知一郎,2024-05-15,1,0,2024RS
古賀,今井 達也,2024-05-21,1,0,2024RS
古賀,隅田 知一郎,2024-05-22,1,0,2024RS
炭谷,佐藤 隼輔,2024-06-02,1,0,2024RS
炭谷,豆田 泰志,2024-06-02,1,0,2024RS
炭谷,高橋 光成,2024-06-08,1,0,2024RS
古賀,隅田 知一郎,2024-06-22,1,0,2024RS
古賀,高橋 光成,2024-06-23,1,0,2024RS
牧野,ヤン,2024-06-25,1,0,2024RS
古賀,今井 達也,2024-06-28,1,0,2024RS
古賀,本田 圭佑,2024-06-30,1,0,2024RS
牧野,羽田 慎之介,2024-07-02,1,1,2024RS
牧野,本田 圭佑,2024-07-02,1,0,2024RS
古賀,今井 達也,2024-07-05,1,0,2024RS
古賀,ヤン,2024-07-05,1,0,2024RS
古賀,松本 航,2024-07-06,1,0,2024RS
牧野,本田 圭佑,2024-07-06,1,0,2024RS
牧野,ボー・タカハシ,2024-07-07,1,0,2024RS
牧野,豆田 泰志,2024-07-07,1,0,2024RS
古賀,隅田 知一郎,2024-07-14,0,1,2024RS
炭谷,武内 夏暉,2024-07-19,1,0,2024RS
炭谷,本田 圭佑,2024-07-19,1,0,2024RS
古賀,隅田 知一郎,2024-07-21,2,0,2024RS
古賀,渡邉 勇太朗,2024-07-26,1,0,2024RS
炭谷,武内 夏暉,2024-07-27,0,1,2024RS
柘植,ヤン,2024-08-01,1,0,2024RS
炭谷,武内 夏暉,2024-08-11,0,1,2024RS
古賀,中村 祐太,2024-08-12,2,0,2024RS
古賀,ヤン,2024-08-15,1,0,2024RS
炭谷,武内 夏暉,2024-08-18,1,0,2024RS
古賀,平良 海馬,2024-08-28,1,0,2024RS
柘植,ボー・タカハシ,2024-08-28,2,0,2024RS
古賀,今井 達也,2024-08-31,1,0,2024RS
炭谷,武内 夏暉,2024-09-01,0,1,2024RS
