catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
森,山下 舜平大,2024-04-03,1,0,2024RS
若月,エスピノーザ,2024-04-17,0,1,2024RS
若月,東 晃平,2024-05-03,1,0,2024RS
森,吉田 輝星,2024-05-08,1,0,2024RS
若月,エスピノーザ,2024-05-11,0,1,2024RS
森,カスティーヨ,2024-05-15,0,1,2024RS
森,田嶋 大樹,2024-05-29,1,0,2024RS
森,齋藤 響介,2024-05-30,1,0,2024RS
若月,高島 泰都,2024-06-06,1,0,2024RS
森,エスピノーザ,2024-06-28,1,0,2024RS
若月,山下 舜平大,2024-06-30,1,0,2024RS
若月,田嶋 大樹,2024-07-09,1,0,2024RS
森,宮城 大弥,2024-07-10,1,1,2024RS
森,山下 舜平大,2024-07-26,1,0,2024RS
森,富山 凌雅,2024-07-26,1,0,2024RS
若月,本田 仁海,2024-07-30,1,0,2024RS
森,佐藤 一磨,2024-08-07,1,0,2024RS
森,カスティーヨ,2024-08-23,1,0,2024RS
若月,田嶋 大樹,2024-09-03,1,0,2024RS
