catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
松本直,大西,2024-03-30,0,1,2024RS
中村,小澤,2024-04-02,1,0,2024RS
中村,小澤,2024-04-09,1,0,2024RS
中村,ヤフーレ,2024-04-14,1,0,2024RS
中村,木澤,2024-04-16,1,0,2024RS
中村,石山,2024-04-19,1,0,2024RS
中村,高橋,2024-04-25,1,0,2024RS
中村,エスパーダ,2024-04-27,1,0,2024RS
中村,吉村,2024-05-08,0,1,2024RS
中村,星,2024-05-18,1,0,2024RS
中村,田口,2024-05-18,0,1,2024RS
中村,小澤,2024-05-22,1,0,2024RS
中村,木澤,2024-05-23,1,0,2024RS
中村,田口,2024-05-30,1,0,2024RS
松本直,サイスニード,2024-05-31,1,0,2024RS
中村,丸山翔,2024-06-01,1,0,2024RS
中村,木澤,2024-06-05,1,0,2024RS
中村,小澤,2024-06-07,1,0,2024RS
松本直,ヤフーレ,2024-06-09,1,0,2024RS
松本直,石山,2024-06-14,1,0,2024RS
松本直,サイスニード,2024-06-30,0,1,2024RS
中村,石山,2024-07-02,1,0,2024RS
中村,山本,2024-07-06,1,0,2024RS
中村,木澤,2024-07-09,1,0,2024RS
松本直,奥川,2024-07-10,1,0,2024RS
松本直,石川,2024-07-12,1,0,2024RS
松本直,ロドリゲス,2024-07-12,1,0,2024RS
中村,山本,2024-07-13,1,0,2024RS
松本直,阪口,2024-07-28,2,0,2024RS
内山,高梨,2024-08-09,1,0,2024RS
松本直,大西,2024-08-09,1,0,2024RS
松本直,長谷川,2024-08-10,1,0,2024RS
内山,ヤフーレ,2024-08-13,2,0,2024RS
内山,丸山翔,2024-08-13,1,0,2024RS
松本直,田口,2024-08-14,1,0,2024RS
内山,長谷川,2024-08-18,1,0,2024RS
松本直,木澤,2024-08-23,1,0,2024RS
松本直,サイスニード,2024-08-28,1,0,2024RS
中村,サイスニード,2024-09-06,1,0,2024RS
内山,大西 広樹,2024-09-12,1,0,2024RS
中村,木澤 尚文,2024-09-16,0,1,2024RS
中村,ヤフーレ,2024-09-18,1,0,2024RS
中村,吉村 貢司郎,2024-09-19,0,1,2024RS
内山,田口 麗斗,2024-09-20,0,1,2024RS
中村,高梨 裕稔,2024-09-22,1,0,2024RS
中村,ロドリゲス,2024-09-25,1,0,2024RS
