o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
広島,小園,横浜,伊藤,大貫,2024-03-31,0,1,2024RS
広島,坂倉,横浜,伊藤,大貫,2024-03-31,0,1,2024RS
広島,野間,横浜,伊藤,上茶谷,2024-03-31,1,0,2024RS
阪神,中野,横浜,山本,ジャクソン,2024-04-02,0,1,2024RS
阪神,島田,横浜,山本,ジャクソン,2024-04-02,1,0,2024RS
阪神,近本,横浜,山本,濱口,2024-04-03,0,1,2024RS
阪神,近本,横浜,松尾,中川,2024-04-04,1,0,2024RS
巨人,門脇,横浜,伊藤,大貫,2024-04-07,1,0,2024RS
中日,村松,横浜,山本,ジャクソン,2024-04-09,0,1,2024RS
中日,村松,横浜,松尾,中川,2024-04-10,0,1,2024RS
ヤクルト,長岡,横浜,山本,東,2024-04-12,1,0,2024RS
ヤクルト,赤羽,横浜,---,ケイ,2024-04-13,1,0,2024RS
ヤクルト,丸山和,横浜,山本,松本,2024-04-13,1,0,2024RS
広島,秋山,横浜,山本,ジャクソン,2024-04-16,1,0,2024RS
広島,坂倉,横浜,山本,濱口,2024-04-17,1,0,2024RS
広島,小園,横浜,山本,濱口,2024-04-17,0,1,2024RS
広島,菊池,横浜,山本,濱口,2024-04-17,0,1,2024RS
広島,宇草,横浜,山本,上茶谷,2024-04-17,0,1,2024RS
ヤクルト,村上,横浜,山本,東,2024-04-19,1,0,2024RS
阪神,近本,横浜,山本,ジャクソン,2024-04-23,0,1,2024RS
巨人,萩尾,横浜,山本,東,2024-04-26,0,1,2024RS
巨人,オコエ,横浜,山本,ケイ,2024-04-27,1,0,2024RS
巨人,門脇,横浜,伊藤,上茶谷,2024-04-28,1,0,2024RS
巨人,門脇,横浜,伊藤,松本,2024-04-28,1,0,2024RS
広島,秋山,横浜,山本,東,2024-05-03,0,1,2024RS
巨人,岸田,横浜,山本,ケイ,2024-05-14,0,1,2024RS
巨人,吉川,横浜,戸柱,石田,2024-05-15,0,1,2024RS
中日,山本,横浜,山本,伊勢,2024-05-17,1,0,2024RS
中日,岡林,横浜,山本,中川,2024-05-18,1,0,2024RS
ヤクルト,赤羽,横浜,山本,ケイ,2024-05-21,1,0,2024RS
ヤクルト,武岡,横浜,山本,ケイ,2024-05-21,1,0,2024RS
広島,菊池,横浜,伊藤,中川,2024-05-25,1,0,2024RS
広島,矢野,横浜,伊藤,中川,2024-05-25,2,0,2024RS
広島,羽月,横浜,山本,徳山,2024-05-25,1,0,2024RS
広島,矢野,横浜,山本,石川,2024-05-25,1,0,2024RS
広島,秋山,横浜,山本,大貫,2024-05-26,1,0,2024RS
広島,野間,横浜,---,大貫,2024-05-26,1,0,2024RS
広島,羽月,横浜,山本,徳山,2024-05-26,1,0,2024RS
楽天,小郷,横浜,戸柱,ジャクソン,2024-05-29,1,0,2024RS
楽天,辰巳,横浜,戸柱,ジャクソン,2024-05-29,1,0,2024RS
日本ハム,五十幡,横浜,伊藤,中川,2024-06-01,0,1,2024RS
ソフトバンク,周東,横浜,伊藤,森,2024-06-07,1,0,2024RS
ソフトバンク,柳町,横浜,伊藤,上茶谷,2024-06-07,1,0,2024RS
西武,鈴木,横浜,戸柱,濱口,2024-06-14,1,1,2024RS
西武,児玉,横浜,戸柱,濱口,2024-06-14,1,0,2024RS
西武,奥村,横浜,戸柱,濱口,2024-06-14,1,0,2024RS
阪神,近本,横浜,山本,ジャクソン,2024-06-21,0,1,2024RS
巨人,増田大,横浜,戸柱,徳山,2024-06-25,1,0,2024RS
中日,福永,横浜,山本,徳山,2024-06-30,1,0,2024RS
ヤクルト,長岡,横浜,伊藤,濱口,2024-07-03,1,0,2024RS
ヤクルト,並木,横浜,伊藤,森原,2024-07-03,1,0,2024RS
ヤクルト,サンタナ,横浜,山本,平良,2024-07-04,0,1,2024RS
阪神,島田,横浜,山本,森,2024-07-06,1,0,2024RS
阪神,植田,横浜,山本,京山,2024-07-06,1,0,2024RS
阪神,小幡,横浜,山本,森,2024-07-06,0,1,2024RS
中日,高橋周,横浜,山本,中川,2024-07-09,0,1,2024RS
中日,樋口,横浜,戸柱,京山,2024-07-11,1,0,2024RS
巨人,吉川,横浜,伊藤,吉野,2024-07-13,1,0,2024RS
巨人,岡本和,横浜,伊藤,吉野,2024-07-13,0,1,2024RS
巨人,丸,横浜,山本,ケイ,2024-07-14,0,1,2024RS
ヤクルト,村上,横浜,山本,石田裕,2024-07-20,1,0,2024RS
ヤクルト,村上,横浜,山本,ケイ,2024-07-21,1,0,2024RS
ヤクルト,増田,横浜,山本,ケイ,2024-07-21,0,1,2024RS
巨人,モンテス,横浜,山本,森,2024-07-27,1,0,2024RS
巨人,吉川,横浜,山本,森,2024-07-27,1,0,2024RS
