o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
DeNA,度会,広島,坂倉,河野,2024-03-30,1,0,2024RS
ヤクルト,村上,広島,坂倉,床田,2024-04-02,1,0,2024RS
巨人,門脇,広島,會澤,森下,2024-04-13,1,0,2024RS
巨人,佐々木,広島,會澤,森下,2024-04-13,1,0,2024RS
DeNA,関根,広島,坂倉,アドゥワ,2024-04-17,0,1,2024RS
巨人,丸,広島,坂倉,九里,2024-04-19,1,0,2024RS
ヤクルト,塩見,広島,坂倉,床田,2024-04-23,1,0,2024RS
ヤクルト,岩田,広島,坂倉,島内,2024-04-25,1,0,2024RS
阪神,近本,広島,會澤,大瀬良,2024-05-01,1,0,2024RS
DeNA,桑原,広島,會澤,森下,2024-05-04,1,0,2024RS
DeNA,神里,広島,坂倉,森浦,2024-05-05,1,0,2024RS
DeNA,蝦名,広島,坂倉,黒原,2024-05-05,0,1,2024RS
阪神,近本,広島,會澤,大瀬良,2024-05-08,1,0,2024RS
中日,細川,広島,會澤,九里,2024-05-11,0,1,2024RS
中日,尾田,広島,坂倉,ケムナ,2024-05-11,0,1,2024RS
巨人,丸,広島,會澤,大瀬良,2024-05-17,1,0,2024RS
巨人,岸田,広島,坂倉,九里,2024-05-18,1,0,2024RS
阪神,近本,広島,坂倉,床田,2024-05-21,0,1,2024RS
阪神,中野,広島,石原,ハッチ,2024-05-23,1,0,2024RS
阪神,渡邉,広島,石原,中崎,2024-05-23,0,1,2024RS
DeNA,森敬,広島,坂倉,森浦,2024-05-25,1,0,2024RS
DeNA,森敬,広島,石原,アドゥワ,2024-05-26,2,0,2024RS
ソフトバンク,周東,広島,會澤,大瀬良,2024-05-31,1,0,2024RS
ソフトバンク,今宮,広島,石原,玉村,2024-06-01,1,0,2024RS
ソフトバンク,佐藤直,広島,石原,玉村,2024-06-01,1,0,2024RS
ソフトバンク,佐藤直,広島,石原,アドゥワ,2024-06-02,0,2,2024RS
ソフトバンク,佐藤直,広島,石原,森浦,2024-06-02,1,0,2024RS
日本ハム,松本剛,広島,會澤,森下,2024-06-05,0,1,2024RS
日本ハム,水谷,広島,石原,九里,2024-06-06,0,1,2024RS
ロッテ,佐藤,広島,石原,玉村,2024-06-08,1,0,2024RS
ロッテ,友杉,広島,石原,アドゥワ,2024-06-09,1,0,2024RS
ロッテ,小川,広島,石原,アドゥワ,2024-06-09,1,0,2024RS
西武,高松,広島,坂倉,栗林,2024-06-11,1,0,2024RS
楽天,小郷,広島,坂倉,ハーン,2024-06-15,1,0,2024RS
楽天,辰巳,広島,石原,遠藤,2024-06-16,1,0,2024RS
楽天,小深田,広島,石原,遠藤,2024-06-16,0,1,2024RS
中日,板山,広島,石原,玉村,2024-06-23,0,1,2024RS
中日,尾田,広島,石原,島内,2024-06-23,0,1,2024RS
巨人,重信,広島,坂倉,コルニエル,2024-06-28,0,1,2024RS
阪神,島田,広島,石原,九里,2024-07-03,0,1,2024RS
阪神,小幡,広島,石原,アドゥワ,2024-07-04,1,0,2024RS
