o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
ヤクルト,塩見,中日,木下,柳 裕也,2024-03-29,1,0,2024RS
ヤクルト,並木,中日,木下,清水 達也,2024-03-30,1,0,2024RS
ヤクルト,赤羽,中日,木下,松山 晋也,2024-03-30,1,0,2024RS
広島,矢野,中日,加藤匠,柳 裕也,2024-04-05,0,1,2024RS
広島,野間,中日,宇佐見,メヒア,2024-04-07,1,0,2024RS
DeNA,梶原,中日,木下,松葉 貴大,2024-04-10,1,0,2024RS
阪神,熊谷,中日,加藤匠,松山 晋也,2024-04-12,1,0,2024RS
阪神,佐藤輝,中日,宇佐見,メヒア,2024-04-13,0,1,2024RS
ヤクルト,北村拓,中日,加藤匠,齋藤 綱記,2024-04-17,0,1,2024RS
ヤクルト,村上,中日,宇佐見,梅野 雄吾,2024-04-18,1,0,2024RS
阪神,近本,中日,宇佐見,メヒア,2024-04-19,1,0,2024RS
巨人,オコエ,中日,木下,涌井 秀章,2024-04-24,1,0,2024RS
巨人,重信,中日,加藤匠,松山 晋也,2024-04-24,1,0,2024RS
広島,宇草,中日,木下,梅野 雄吾,2024-04-27,1,0,2024RS
広島,野間,中日,木下,梅野 雄吾,2024-04-27,1,0,2024RS
広島,矢野,中日,加藤匠,齋藤 綱記,2024-04-28,1,0,2024RS
DeNA,蝦名,中日,木下,小笠原 慎之介,2024-04-30,1,0,2024RS
DeNA,大和,中日,木下,小笠原 慎之介,2024-04-30,1,0,2024RS
DeNA,石上,中日,木下,小笠原 慎之介,2024-04-30,1,0,2024RS
DeNA,京田,中日,木下,涌井 秀章,2024-05-01,1,0,2024RS
巨人,吉川,中日,宇佐見,梅津 晃大,2024-05-06,1,0,2024RS
巨人,門脇,中日,宇佐見,梅津 晃大,2024-05-06,1,0,2024RS
巨人,坂本,中日,木下,涌井 秀章,2024-05-07,1,0,2024RS
巨人,泉口,中日,加藤匠,土生 翔太,2024-05-08,1,0,2024RS
広島,小園,中日,木下,勝野 昌慶,2024-05-10,1,0,2024RS
広島,末包,中日,木下,松葉 貴大,2024-05-10,0,1,2024RS
阪神,近本,中日,加藤匠,マルティネス,2024-05-15,1,0,2024RS
