o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
西武,金子侑,楽天,太田,早川 隆久,2024-03-29,1,0,2024RS
西武,高松,楽天,太田,鈴木 翔天,2024-03-30,1,0,2024RS
西武,古市,楽天,石原,渡辺 翔太,2024-03-31,1,0,2024RS
日本ハム,松本剛,楽天,石原,岸 孝之,2024-04-03,1,0,2024RS
日本ハム,田宮,楽天,石原,岸 孝之,2024-04-03,0,1,2024RS
ソフトバンク,近藤,楽天,石原,荘司 康誠,2024-04-06,1,0,2024RS
ロッテ,岡,楽天,太田,早川 隆久,2024-04-12,1,0,2024RS
ロッテ,岡,楽天,石原,松田 啄磨,2024-04-13,1,0,2024RS
ロッテ,岡,楽天,太田,藤井 聖,2024-04-14,1,0,2024RS
オリックス,辰巳,楽天,石原,ポンセ,2024-04-16,1,0,2024RS
オリックス,福田,楽天,太田,岸 孝之,2024-04-17,1,0,2024RS
オリックス,福田,楽天,太田,鈴木 翔天,2024-04-17,1,0,2024RS
オリックス,紅林,楽天,太田,岸 孝之,2024-04-17,0,1,2024RS
西武,長谷川,楽天,石原,瀧中 瞭太,2024-04-20,1,0,2024RS
西武,高松,楽天,石原,西垣 雅矢,2024-04-21,1,0,2024RS
日本ハム,万波,楽天,石原,ポンセ,2024-04-23,1,0,2024RS
日本ハム,石井,楽天,石原,ポンセ,2024-04-23,1,0,2024RS
日本ハム,五十幡,楽天,太田,酒居 知史,2024-04-23,1,0,2024RS
日本ハム,上川畑,楽天,太田,西垣 雅矢,2024-04-23,1,0,2024RS
日本ハム,水野,楽天,石原,渡辺 翔太,2024-04-23,0,1,2024RS
日本ハム,五十幡,楽天,太田,則本 昂大,2024-04-23,0,1,2024RS
ロッテ,友杉,楽天,太田,荘司 康誠,2024-04-29,0,1,2024RS
ソフトバンク,三森,楽天,石原,ポンセ,2024-04-30,1,0,2024RS
ソフトバンク,周東,楽天,石原,藤平 尚真,2024-05-01,1,0,2024RS
ロッテ,友杉,楽天,石原,岸 孝之,2024-05-05,1,1,2024RS
ロッテ,岡,楽天,石原,岸 孝之,2024-05-05,1,0,2024RS
オリックス,福田,楽天,太田,松田 啄磨,2024-05-06,0,1,2024RS
ソフトバンク,柳田,楽天,石原,ポンセ,2024-05-14,1,0,2024RS
ソフトバンク,周東,楽天,石原,ポンセ,2024-05-14,1,0,2024RS
オリックス,西野,楽天,太田,西垣 雅矢,2024-05-18,1,0,2024RS
オリックス,中川,楽天,石原,岸 孝之,2024-05-19,1,0,2024RS
オリックス,宗,楽天,石原,岸 孝之,2024-05-19,1,0,2024RS
日本ハム,五十幡,楽天,石原,宋 家豪,2024-05-24,1,0,2024RS
日本ハム,松本剛,楽天,石原,宋 家豪,2024-05-24,1,0,2024RS
