o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
西武,西川,日本ハム,田宮,伊藤 大海,2024-04-05,1,0,2024RS
西武,金子侑,日本ハム,田宮,加藤 貴之,2024-04-06,1,0,2024RS
西武,源田,日本ハム,田宮,加藤 貴之,2024-04-06,0,1,2024RS
ソフトバンク,周東,日本ハム,伏見,山崎 福也,2024-04-09,1,0,2024RS
ソフトバンク,周東,日本ハム,田宮,北山 亘基,2024-04-11,1,0,2024RS
オリックス,渡部,日本ハム,田宮,マーフィー,2024-04-14,1,0,2024RS
ソフトバンク,柳田,日本ハム,伏見,福島 蓮,2024-04-17,1,0,2024RS
ロッテ,中村奨,日本ハム,田宮,伊藤 大海,2024-04-19,0,1,2024RS
ロッテ,岡,日本ハム,田宮,北山 亘基,2024-04-20,1,0,2024RS
楽天,小深田,日本ハム,伏見,山崎 福也,2024-04-23,1,0,2024RS
楽天,小深田,日本ハム,田宮,田中 瑛斗,2024-04-25,1,0,2024RS
オリックス,福田,日本ハム,田宮,伊藤 大海,2024-04-27,1,0,2024RS
オリックス,森,日本ハム,田宮,加藤 貴之,2024-04-28,1,0,2024RS
オリックス,福田,日本ハム,田宮,加藤 貴之,2024-04-28,1,0,2024RS
オリックス,宗,日本ハム,---,生田目 翼,2024-04-28,0,1,2024RS
オリックス,渡部,日本ハム,田宮,北山 亘基,2024-04-29,0,1,2024RS
西武,金子侑,日本ハム,伏見,山崎 福也,2024-04-30,0,1,2024RS
西武,高松,日本ハム,田宮,福島 蓮,2024-05-01,1,0,2024RS
西武,金子侑,日本ハム,田宮,福島 蓮,2024-05-01,0,1,2024RS
オリックス,西川,日本ハム,伏見,加藤 貴之,2024-05-04,1,1,2024RS
オリックス,福田,日本ハム,伏見,加藤 貴之,2024-05-04,1,0,2024RS
オリックス,紅林,日本ハム,伏見,矢澤 宏太,2024-05-04,0,1,2024RS
オリックス,森,日本ハム,田宮,伊藤 大海,2024-05-05,1,0,2024RS
ソフトバンク,三森,日本ハム,田宮,北山 亘基,2024-05-05,1,0,2024RS
ソフトバンク,中村晃,日本ハム,田宮,堀 瑞輝,2024-05-08,0,1,2024RS
西武,蛭間,日本ハム,伏見,山崎 福也,2024-05-14,1,0,2024RS
ロッテ,岡,日本ハム,田宮,加藤 貴之,2024-05-18,1,0,2024RS
オリックス,中川,日本ハム,伏見,河野 竜生,2024-05-21,0,1,2024RS
オリックス,茶野,日本ハム,田宮,山本 拓実,2024-05-23,1,0,2024RS
楽天,小郷,日本ハム,田宮,金村 尚真,2024-05-24,1,0,2024RS
楽天,小深田,日本ハム,伏見,加藤 貴之,2024-05-25,1,0,2024RS
楽天,小郷,日本ハム,田宮,柳川 大晟,2024-05-26,1,0,2024RS
楽天,小深田,日本ハム,田宮,畔柳 亨丞,2024-05-26,0,1,2024RS
阪神,中野,日本ハム,田宮,伊藤 大海,2024-05-29,0,1,2024RS
DeNA,蝦名,日本ハム,田宮,金村 尚真,2024-05-31,0,1,2024RS
DeNA,森敬,日本ハム,田宮,金村 尚真,2024-05-31,0,1,2024RS
DeNA,梶原,日本ハム,伏見,加藤 貴之,2024-06-01,1,0,2024RS
広島,末包,日本ハム,田宮,北山 亘基,2024-06-04,0,1,2024RS
ヤクルト,並木,日本ハム,田宮,ザバラ,2024-06-07,1,0,2024RS
ヤクルト,北村拓,日本ハム,田宮,河野 竜生,2024-06-09,1,0,2024RS
巨人,門脇,日本ハム,伏見,田中 瑛斗,2024-06-14,1,0,2024RS
巨人,岸田,日本ハム,伏見,田中 瑛斗,2024-06-14,1,0,2024RS
巨人,丸,日本ハム,田宮,加藤 貴之,2024-06-16,0,1,2024RS
楽天,小郷,日本ハム,清水,山崎 福也,2024-06-21,1,0,2024RS
楽天,小深田,日本ハム,清水,山崎 福也,2024-06-21,1,1,2024RS
楽天,村林,日本ハム,田宮,宮西 尚生,2024-06-21,1,0,2024RS
楽天,浅村,日本ハム,清水,山崎 福也,2024-06-21,0,1,2024RS
楽天,村林,日本ハム,田宮,伊藤 大海,2024-06-22,1,0,2024RS
楽天,小深田,日本ハム,田宮,伊藤 大海,2024-06-22,1,0,2024RS
西武,高松,日本ハム,田宮,山本 拓実,2024-06-25,1,0,2024RS
西武,源田,日本ハム,田宮,金村 尚真,2024-06-25,0,1,2024RS
西武,鈴木,日本ハム,田宮,福島 蓮,2024-06-26,0,1,2024RS
ソフトバンク,緒方,日本ハム,伏見,マーフィー,2024-06-28,1,0,2024RS
ソフトバンク,周東,日本ハム,伏見,加藤 貴之,2024-06-30,1,0,2024RS
ロッテ,藤原,日本ハム,伏見,細野 晴希,2024-07-03,1,0,2024RS
ロッテ,高部,日本ハム,清水,上原 健太,2024-07-04,1,0,2024RS
オリックス,杉本,日本ハム,田宮,福島 蓮,2024-07-06,1,0,2024RS
オリックス,宗,日本ハム,田宮,齋藤 友貴哉,2024-07-07,1,0,2024RS
西武,山野辺,日本ハム,伏見,池田 隆英,2024-07-09,1,0,2024RS
ソフトバンク,周東,日本ハム,伏見,バーヘイゲン,2024-07-13,2,0,2024RS
ソフトバンク,近藤,日本ハム,伏見,バーヘイゲン,2024-07-13,1,0,2024RS
ソフトバンク,栗原,日本ハム,伏見,バーヘイゲン,2024-07-13,1,0,2024RS
ソフトバンク,周東,日本ハム,伏見,生田目 翼,2024-07-13,1,0,2024RS
ソフトバンク,周東,日本ハム,伏見,田中 正義,2024-07-13,0,1,2024RS
ソフトバンク,周東,日本ハム,伏見,伊藤 大海,2024-07-14,1,0,2024RS
楽天,辰巳,日本ハム,田宮,福島 蓮,2024-07-15,1,0,2024RS
楽天,小深田,日本ハム,伏見,山崎 福也,2024-07-16,0,1,2024RS
ロッテ,高部,日本ハム,田宮,加藤 貴之,2024-07-19,0,1,2024RS
ロッテ,小川,日本ハム,田宮,伊藤 大海,2024-07-21,1,0,2024RS
西武,源田,日本ハム,伏見,福島 蓮,2024-07-27,1,0,2024RS
オリックス,来田,日本ハム,伏見,田中 正義,2024-08-01,1,0,2024RS
オリックス,大里,日本ハム,伏見,バーヘイゲン,2024-08-01,0,1,2024RS
オリックス,大里,日本ハム,伏見,宮西 尚生,2024-08-01,0,1,2024RS
ソフトバンク,周東,日本ハム,田宮,柳川 大晟,2024-08-02,1,0,2024RS
ソフトバンク,川瀬,日本ハム,伏見,加藤 貴之,2024-08-02,0,1,2024RS
ソフトバンク,周東,日本ハム,伏見,生田目 翼,2024-08-03,0,1,2024RS
楽天,小深田,日本ハム,田宮,加藤 貴之,2024-08-08,1,0,2024RS
楽天,小郷,日本ハム,伏見,松浦 慶斗,2024-08-08,1,0,2024RS
楽天,阿部,日本ハム,田宮,加藤 貴之,2024-08-08,0,1,2024RS
西武,西川,日本ハム,伏見,伊藤 大海,2024-08-11,1,0,2024RS
ロッテ,藤原,日本ハム,伏見,加藤 貴之,2024-08-15,1,0,2024RS
ロッテ,高部,日本ハム,伏見,加藤 貴之,2024-08-15,1,0,2024RS
オリックス,山足,日本ハム,田宮,ザバラ,2024-08-16,1,0,2024RS
オリックス,セデーニョ,日本ハム,田宮,バーヘイゲン,2024-08-17,0,1,2024RS
ロッテ,高部,日本ハム,伏見,山崎 福也,2024-08-21,1,0,2024RS
ロッテ,小川,日本ハム,梅林,加藤 貴之,2024-08-22,1,0,2024RS
ロッテ,和田,日本ハム,梅林,宮西 尚生,2024-08-22,1,0,2024RS
ロッテ,高部,日本ハム,伏見,柳川 大晟,2024-08-22,1,0,2024RS
楽天,小深田,日本ハム,伏見,山本 拓実,2024-08-28,0,1,2024RS
西武,山野辺,日本ハム,伏見,バーヘイゲン,2024-08-31,1,0,2024RS
西武,外崎,日本ハム,伏見,バーヘイゲン,2024-08-31,1,0,2024RS
---,---,日本ハム,田宮,---,2024-12-01,-2,1,2024RS
西武,滝澤,日本ハム,田宮,北山 亘基,2024-09-01,1,0,2024RS
