o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
オリックス,渡部,ソフトバンク,甲斐,松本 裕樹,2024-03-29,1,0,2024RS
オリックス,森,ソフトバンク,海野,スチュワート・ジュニア,2024-03-31,1,0,2024RS
ロッテ,和田,ソフトバンク,甲斐,又吉 克樹,2024-04-03,1,0,2024RS
楽天,村林,ソフトバンク,甲斐,モイネロ,2024-04-06,1,0,2024RS
楽天,小深田,ソフトバンク,海野,スチュワート・ジュニア,2024-04-07,1,0,2024RS
楽天,辰巳,ソフトバンク,海野,スチュワート・ジュニア,2024-04-07,1,0,2024RS
日本ハム,田宮,ソフトバンク,甲斐,大関 友久,2024-04-11,1,0,2024RS
西武,源田,ソフトバンク,海野,大津 亮介,2024-04-14,0,1,2024RS
日本ハム,中島,ソフトバンク,甲斐,有原 航平,2024-04-16,1,0,2024RS
日本ハム,五十幡,ソフトバンク,甲斐,石川 柊太,2024-04-16,1,0,2024RS
日本ハム,水野,ソフトバンク,甲斐,大関 友久,2024-04-17,1,0,2024RS
日本ハム,中島,ソフトバンク,甲斐,オスナ,2024-04-17,0,1,2024RS
オリックス,野口,ソフトバンク,海野,スチュワート・ジュニア,2024-04-21,0,1,2024RS
西武,中村剛,ソフトバンク,甲斐,モイネロ,2024-04-27,1,0,2024RS
西武,金子侑,ソフトバンク,甲斐,東浜 巨,2024-04-28,1,0,2024RS
西武,源田,ソフトバンク,甲斐,オスナ,2024-04-28,1,0,2024RS
西武,山野辺,ソフトバンク,甲斐,オスナ,2024-04-28,0,1,2024RS
楽天,小深田,ソフトバンク,甲斐,大関 友久,2024-05-01,2,0,2024RS
楽天,辰巳,ソフトバンク,甲斐,石川 柊太,2024-05-01,1,0,2024RS
楽天,小深田,ソフトバンク,海野,オスナ,2024-05-01,0,1,2024RS
西武,若林,ソフトバンク,甲斐,モイネロ,2024-05-04,1,0,2024RS
西武,佐藤龍,ソフトバンク,甲斐,モイネロ,2024-05-04,0,1,2024RS
西武,源田,ソフトバンク,甲斐,東浜 巨,2024-05-05,1,0,2024RS
西武,若林,ソフトバンク,甲斐,東浜 巨,2024-05-05,1,1,2024RS
日本ハム,五十幡,ソフトバンク,甲斐,有原 航平,2024-05-07,0,1,2024RS
日本ハム,松本剛,ソフトバンク,甲斐,石川 柊太,2024-05-08,1,0,2024RS
楽天,小郷,ソフトバンク,甲斐,有原 航平,2024-05-14,1,0,2024RS
楽天,小郷,ソフトバンク,甲斐,又吉 克樹,2024-05-14,0,1,2024RS
楽天,辰巳,ソフトバンク,甲斐,石川 柊太,2024-05-15,1,0,2024RS
西武,児玉,ソフトバンク,海野,オスナ,2024-05-18,1,0,2024RS
西武,蛭間,ソフトバンク,甲斐,ヘルナンデス,2024-05-19,1,0,2024RS
西武,岸,ソフトバンク,海野,大関 友久,2024-05-19,0,1,2024RS
楽天,平良,ソフトバンク,甲斐,有原 航平,2024-05-21,1,0,2024RS
ロッテ,岡,ソフトバンク,甲斐,スチュワート・ジュニア,2024-05-26,1,0,2024RS
巨人,立岡,ソフトバンク,甲斐,有原 航平,2024-05-28,1,0,2024RS
巨人,吉川,ソフトバンク,甲斐,有原 航平,2024-05-28,0,1,2024RS
巨人,重信,ソフトバンク,海野,ヘルナンデス,2024-05-29,1,0,2024RS
巨人,増田大,ソフトバンク,海野,ヘルナンデス,2024-05-29,1,0,2024RS
巨人,湯浅,ソフトバンク,海野,松本 裕樹,2024-05-29,0,1,2024RS
広島,羽月,ソフトバンク,甲斐,モイネロ,2024-05-31,1,1,2024RS
広島,二俣,ソフトバンク,海野,松本 裕樹,2024-05-31,1,0,2024RS
中日,岡林,ソフトバンク,甲斐,杉山 一樹,2024-06-04,1,0,2024RS
中日,尾田,ソフトバンク,甲斐,長谷川 威展,2024-06-06,1,0,2024RS
DeNA,桑原,ソフトバンク,甲斐,オスナ,2024-06-08,1,0,2024RS
ヤクルト,丸山和,ソフトバンク,甲斐,有原 航平,2024-06-11,0,1,2024RS
ヤクルト,山崎,ソフトバンク,海野,ヘルナンデス,2024-06-13,1,0,2024RS
阪神,原口,ソフトバンク,甲斐,モイネロ,2024-06-14,1,0,2024RS
阪神,近本,ソフトバンク,甲斐,モイネロ,2024-06-14,1,0,2024RS
阪神,中野,ソフトバンク,甲斐,松本 裕樹,2024-06-14,0,1,2024RS
阪神,近本,ソフトバンク,甲斐,東浜 巨,2024-06-15,1,0,2024RS
阪神,中野,ソフトバンク,甲斐,石川 柊太,2024-06-16,1,0,2024RS
ロッテ,岡,ソフトバンク,甲斐,スチュワート・ジュニア,2024-06-21,1,0,2024RS
ロッテ,和田,ソフトバンク,海野,長谷川 威展,2024-06-23,1,0,2024RS
日本ハム,上川畑,ソフトバンク,甲斐,ヘルナンデス,2024-06-30,1,0,2024RS
西武,外崎,ソフトバンク,甲斐,有原 航平,2024-07-02,1,0,2024RS
西武,高松,ソフトバンク,甲斐,長谷川 威展,2024-07-04,1,0,2024RS
西武,西川,ソフトバンク,甲斐,長谷川 威展,2024-07-04,1,0,2024RS
西武,山村,ソフトバンク,海野,大関 友久,2024-07-04,0,1,2024RS
楽天,辰巳,ソフトバンク,海野,和田 毅,2024-07-05,1,0,2024RS
楽天,中島,ソフトバンク,海野,澤柳 亮太郎,2024-07-06,1,0,2024RS
楽天,小郷,ソフトバンク,甲斐,モイネロ,2024-07-07,1,0,2024RS
オリックス,太田,ソフトバンク,甲斐,有原 航平,2024-07-09,1,0,2024RS
日本ハム,マルティネス,ソフトバンク,甲斐,スチュワート・ジュニア,2024-07-12,0,1,2024RS
日本ハム,浅間,ソフトバンク,海野,大津 亮介,2024-07-13,1,0,2024RS
日本ハム,上川畑,ソフトバンク,甲斐,モイネロ,2024-07-14,1,0,2024RS
ロッテ,小川,ソフトバンク,甲斐,ヘルナンデス,2024-07-17,1,0,2024RS
西武,野村大,ソフトバンク,甲斐,スチュワート・ジュニア,2024-07-19,1,0,2024RS
西武,外崎,ソフトバンク,甲斐,スチュワート・ジュニア,2024-07-19,1,0,2024RS
西武,岸,ソフトバンク,甲斐,スチュワート・ジュニア,2024-07-19,0,1,2024RS
楽天,小郷,ソフトバンク,甲斐,モイネロ,2024-07-30,1,0,2024RS
日本ハム,浅間,ソフトバンク,甲斐,有原 航平,2024-08-03,1,0,2024RS
日本ハム,五十幡,ソフトバンク,甲斐,澤柳 亮太郎,2024-08-04,0,1,2024RS
日本ハム,松本剛,ソフトバンク,甲斐,澤柳 亮太郎,2024-08-04,0,1,2024RS
ロッテ,岡,ソフトバンク,甲斐,石川 柊太,2024-08-08,1,0,2024RS
ロッテ,和田,ソフトバンク,甲斐,ヘルナンデス,2024-08-08,1,0,2024RS
楽天,辰巳,ソフトバンク,甲斐,有原 航平,2024-08-10,1,0,2024RS
