o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
楽天,小深田,西武,炭谷,松本 航,2024-03-31,1,0,2024RS
日本ハム,田宮,西武,古賀,佐藤 隼輔,2024-04-05,0,1,2024RS
日本ハム,石井,西武,---,隅田 知一郎,2024-04-06,0,1,2024RS
ソフトバンク,周東,西武,古賀,隅田 知一郎,2024-04-13,2,0,2024RS
ソフトバンク,近藤,西武,古賀,隅田 知一郎,2024-04-13,1,0,2024RS
ソフトバンク,周東,西武,古賀,高橋 光成,2024-04-14,0,1,2024RS
ロッテ,小川,西武,炭谷,本田 圭佑,2024-04-16,1,0,2024RS
ロッテ,佐藤,西武,炭谷,甲斐野 央,2024-04-16,1,0,2024RS
楽天,小郷,西武,柘植,高橋 光成,2024-04-21,1,0,2024RS
オリックス,森,西武,炭谷,平良 海馬,2024-04-23,1,0,2024RS
オリックス,森,西武,炭谷,武内 夏暉,2024-04-24,0,1,2024RS
ソフトバンク,野村,西武,炭谷,隅田 知一郎,2024-04-28,1,0,2024RS
ソフトバンク,川村,西武,柘植,高橋 光成,2024-04-29,1,0,2024RS
ソフトバンク,30,西武,柘植,高橋 光成,2024-04-29,0,1,2024RS
ソフトバンク,松本剛,西武,柘植,高橋 光成,2024-04-29,1,0,2024RS
ソフトバンク,細川,西武,柘植,高橋 光成,2024-04-29,2,0,2024RS
ソフトバンク,五十幡,西武,柘植,高橋 光成,2024-04-29,0,1,2024RS
ソフトバンク,周東,西武,古賀,今井 達也,2024-05-04,1,0,2024RS
ソフトバンク,周東,西武,古賀,佐藤 隼輔,2024-05-04,1,0,2024RS
ソフトバンク,川瀬,西武,古賀,今井 達也,2024-05-04,1,0,2024RS
ソフトバンク,近藤,西武,古賀,アブレイユ,2024-05-04,0,1,2024RS
ソフトバンク,周東,西武,古賀,田村 伊知郎,2024-05-05,1,0,2024RS
ソフトバンク,川村,西武,古賀,ヤン,2024-05-05,0,1,2024RS
ロッテ,佐藤,西武,古賀,中村 祐太,2024-05-06,1,0,2024RS
楽天,小郷,西武,古賀,本田 圭佑,2024-05-10,1,0,2024RS
楽天,小郷,西武,古賀,ヤン,2024-05-10,1,0,2024RS
楽天,小郷,西武,炭谷,武内 夏暉,2024-05-11,0,1,2024RS
楽天,小郷,西武,古賀,今井 達也,2024-05-12,1,0,2024RS
日本ハム,松本剛,西武,古賀,羽田 慎之介,2024-05-14,1,0,2024RS
日本ハム,石井,西武,古賀,高橋 光成,2024-05-14,0,1,2024RS
日本ハム,水野,西武,炭谷,隅田 知一郎,2024-05-15,1,0,2024RS
日本ハム,スティーブンソン,西武,炭谷,隅田 知一郎,2024-05-15,0,1,2024RS
日本ハム,田村 伊知郎,西武,炭谷,隅田 知一郎,2024-05-15,1,,2024RS
日本ハム,石井,西武,炭谷,平井 克典,2024-05-15,1,0,2024RS
ソフトバンク,周東,西武,古賀,田村 伊知郎,2024-05-17,1,0,2024RS
ソフトバンク,周東,西武,古賀,渡邉 勇太朗,2024-05-18,1,0,2024RS
