o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
日本ハム,田宮,ロッテ,佐藤,国吉 佑樹,2024-03-29,1,0,2024RS
日本ハム,水野,ロッテ,佐藤,国吉 佑樹,2024-03-29,0,1,2024RS
ソフトバンク,周東,ロッテ,田村,西野 勇士,2024-04-02,1,0,2024RS
ソフトバンク,ウォーカー,ロッテ,田村,西野 勇士,2024-04-02,1,0,2024RS
ソフトバンク,栗原,ロッテ,田村,メルセデス,2024-04-03,1,0,2024RS
ソフトバンク,周東,ロッテ,田村,メルセデス,2024-04-03,0,1,2024RS
ソフトバンク,近藤,ロッテ,佐藤,ダイクストラ,2024-04-04,1,0,2024RS
楽天,小郷,ロッテ,佐藤,小島 和哉,2024-04-12,1,0,2024RS
楽天,小郷,ロッテ,田村,横山 陸人,2024-04-13,1,0,2024RS
楽天,小深田,ロッテ,佐藤,佐々木 朗希,2024-04-14,1,0,2024RS
西武,高松,ロッテ,佐藤,澤田 圭佑,2024-04-16,1,0,2024RS
西武,長谷川,ロッテ,田村,西野 勇士,2024-04-17,1,0,2024RS
西武,岸,ロッテ,田村,西野 勇士,2024-04-17,1,0,2024RS
日本ハム,五十幡,ロッテ,田村,澤村 拓一,2024-04-19,1,0,2024RS
ソフトバンク,牧原大,ロッテ,佐藤,佐々木 朗希,2024-04-23,1,0,2024RS
ソフトバンク,近藤,ロッテ,田村,西野 勇士,2024-04-25,1,0,2024RS
ソフトバンク,川村,ロッテ,田村,益田 直也,2024-04-25,1,0,2024RS
楽天,小深田,ロッテ,田村,種市 篤暉,2024-04-29,1,0,2024RS
オリックス,宗,ロッテ,佐藤,佐々木 朗希,2024-04-30,1,0,2024RS
オリックス,渡部,ロッテ,佐藤,鈴木 昭汰,2024-04-30,1,0,2024RS
楽天,小郷,ロッテ,田村,西野 勇士,2024-05-03,2,0,2024RS
楽天,浅村,ロッテ,佐藤,メルセデス,2024-05-04,1,0,2024RS
楽天,小深田,ロッテ,佐藤,メルセデス,2024-05-04,0,1,2024RS
楽天,小深田,ロッテ,佐藤,小島 和哉,2024-05-05,1,0,2024RS
楽天,小郷,ロッテ,佐藤,小島 和哉,2024-05-05,1,0,2024RS
西武,岸,ロッテ,佐藤,ダイクストラ,2024-05-07,1,0,2024RS
西武,源田,ロッテ,佐藤,ダイクストラ,2024-05-07,1,0,2024RS
日本ハム,野村,ロッテ,佐藤,佐々木 朗希,2024-05-10,2,0,2024RS
日本ハム,水野,ロッテ,佐藤,佐々木 朗希,2024-05-10,1,0,2024RS
日本ハム,松本剛,ロッテ,佐藤,メルセデス,2024-05-11,2,0,2024RS
日本ハム,今川,ロッテ,佐藤,小島 和哉,2024-05-12,1,0,2024RS
オリックス,渡部,ロッテ,田村,澤村 拓一,2024-05-15,1,0,2024RS
日本ハム,上川畑,ロッテ,佐藤,佐々木 朗希,2024-05-17,1,0,2024RS
日本ハム,松本剛,ロッテ,佐藤,佐々木 朗希,2024-05-17,2,0,2024RS
日本ハム,田宮,ロッテ,田村,メルセデス,2024-05-18,1,0,2024RS
日本ハム,松本剛,ロッテ,佐藤,小島 和哉,2024-05-19,1,0,2024RS
日本ハム,今川,ロッテ,---,小島 和哉,2024-05-19,0,1,2024RS
西武,周東,ロッテ,佐藤,種市 篤暉,2024-05-24,0,1,2024RS
ヤクルト,村上,ロッテ,佐藤,小島 和哉,2024-05-28,0,1,2024RS
ヤクルト,並木,ロッテ,佐藤,西野 勇士,2024-05-30,1,0,2024RS
阪神,熊谷,ロッテ,---,高野 脩汰,2024-05-31,0,1,2024RS
阪神,近本,ロッテ,佐藤,益田 直也,2024-06-01,1,0,2024RS
阪神,島田,ロッテ,佐藤,澤田 圭佑,2024-06-01,1,0,2024RS
阪神,森下,ロッテ,---,メルセデス,2024-06-02,0,1,2024RS
