o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
ソフトバンク,周東,オリックス,森,エスピノーザ,2024-03-30,1,0,2024RS
ソフトバンク,森本,オリックス,森,田嶋 大樹,2024-03-31,1,0,2024RS
西武,外崎,オリックス,森,山下 舜平大,2024-04-03,1,0,2024RS
ロッテ,友杉,オリックス,森,エスピノーザ,2024-04-06,1,0,2024RS
ロッテ,岡,オリックス,若月,曽谷 龍平,2024-04-07,1,0,2024RS
楽天,小深田,オリックス,若月,マチャド,2024-04-10,1,0,2024RS
楽天,小深田,オリックス,森,山下 舜平大,2024-04-11,1,0,2024RS
楽天,小郷,オリックス,森,比嘉 幹貴,2024-04-11,1,0,2024RS
日本ハム,五十幡,オリックス,若月,東 晃平,2024-04-12,1,0,2024RS
日本ハム,中島卓也,オリックス,石川,比嘉 幹貴,2024-04-12,0,1,2024RS
日本ハム,五十幡,オリックス,森,カスティーヨ,2024-04-14,1,0,2024RS
楽天,辰巳,オリックス,森,阿部 翔太,2024-04-16,1,0,2024RS
楽天,村林,オリックス,若月,エスピノーザ,2024-04-17,0,1,2024RS
ソフトバンク,周東,オリックス,若月,山下 舜平大,2024-04-19,1,0,2024RS
ソフトバンク,川村,オリックス,若月,比嘉 幹貴,2024-04-19,1,0,2024RS
ソフトバンク,栗原,オリックス,若月,井口 和朋,2024-04-19,0,1,2024RS
ソフトバンク,柳田,オリックス,若月,東 晃平,2024-04-20,1,0,2024RS
西武,岸,オリックス,若月,マチャド,2024-04-23,1,0,2024RS
西武,児玉,オリックス,若月,エスピノーザ,2024-04-24,1,0,2024RS
日本ハム,福田,オリックス,森,古田島 成龍,2024-04-27,1,0,2024RS
日本ハム,中島卓也,オリックス,若月,高島 泰都,2024-04-28,1,0,2024RS
日本ハム,松本剛,オリックス,若月,曽谷 龍平,2024-04-29,1,0,2024RS
日本ハム,五十幡,オリックス,若月,曽谷 龍平,2024-04-29,0,1,2024RS
ロッテ,小川,オリックス,若月,田嶋 大樹,2024-05-01,1,0,2024RS
日本ハム,水野,オリックス,---,東 晃平,2024-05-03,0,1,2024RS
日本ハム,松本剛,オリックス,森,エスピノーザ,2024-05-04,0,1,2024RS
日本ハム,マルティネス,オリックス,森,カスティーヨ,2024-05-05,1,0,2024RS
日本ハム,田宮,オリックス,森,宇田川 優希,2024-05-05,1,0,2024RS
