o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
広島,小園,ヤクルト,中村,小澤,2024-04-02,0,1,2024RS
広島,田村,ヤクルト,中村,小澤,2024-04-02,0,1,2024RS
広島,小園,ヤクルト,中村,大西,2024-04-02,1,0,2024RS
広島,上本,ヤクルト,中村,高橋,2024-04-04,0,1,2024RS
広島,羽月,ヤクルト,中村,嘉弥真,2024-04-04,1,0,2024RS
阪神,ノイジー,ヤクルト,中村,ヤフーレ,2024-04-07,1,0,2024RS
阪神,近本,ヤクルト,中村,ヤフーレ,2024-04-07,1,0,2024RS
巨人,重信,ヤクルト,中村,小澤,2024-04-09,1,0,2024RS
巨人,佐々木,ヤクルト,中村,高橋,2024-04-11,1,0,2024RS
巨人,萩尾,ヤクルト,中村,高橋,2024-04-11,0,1,2024RS
DeNA,石上,ヤクルト,松本直,サイスニード,2024-04-12,1,0,2024RS
DeNA,牧,ヤクルト,松本直,サイスニード,2024-04-12,1,0,2024RS
DeNA,山本,ヤクルト,松本直,サイスニード,2024-04-12,1,0,2024RS
DeNA,度会,ヤクルト,松本直,サイスニード,2024-04-12,0,1,2024RS
DeNA,宮崎,ヤクルト,中村,ヤフーレ,2024-04-14,1,0,2024RS
中日,カリステ,ヤクルト,中村,石山,2024-04-16,0,1,2024RS
中日,尾田,ヤクルト,中村,木澤,2024-04-16,1,0,2024RS
DeNA,関根,ヤクルト,西田,阪口,2024-04-20,1,0,2024RS
DeNA,牧,ヤクルト,中村,ヤフーレ,2024-04-21,1,0,2024RS
DeNA,度会,ヤクルト,中村,長谷川,2024-04-21,1,0,2024RS
広島,野間,ヤクルト,中村,高橋,2024-04-25,0,1,2024RS
阪神,中野,ヤクルト,中村,小澤,2024-04-28,0,1,2024RS
中日,大島,ヤクルト,松本直,小澤,2024-05-05,0,1,2024RS
広島,秋山,ヤクルト,中村,床田,2024-05-14,0,1,2024RS
広島,宇草,ヤクルト,中村,松本健,2024-05-15,1,0,2024RS
DeNA,蝦名,ヤクルト,中村,小川,2024-05-21,0,1,2024RS
DeNA,森敬,ヤクルト,中村,エスパーダ,2024-05-21,0,1,2024RS
DeNA,林,ヤクルト,中村,田口,2024-05-22,0,1,2024RS
DeNA,蝦名,ヤクルト,松本直,丸山,2024-05-22,0,1,2024RS
DeNA,桑原,ヤクルト,中村,高橋,2024-05-23,1,0,2024RS
中日,村松,ヤクルト,松本直,サイスニード,2024-05-24,1,0,2024RS
中日,ディカーソン,ヤクルト,中村,木澤,2024-05-24,1,0,2024RS
中日,尾田,ヤクルト,中村,大西,2024-05-26,1,0,2024RS
楽天,辰巳,ヤクルト,松本直,サイスニード,2024-05-31,1,0,2024RS
楽天,小深田,ヤクルト,中村,ヤフーレ,2024-06-01,1,0,2024RS
楽天,辰巳,ヤクルト,中村,丸山翔,2024-06-01,1,0,2024RS
西武,源田,ヤクルト,中村,小川,2024-06-05,1,0,2024RS
日本ハム,細川,ヤクルト,中村,松本健,2024-06-07,1,0,2024RS
日本ハム,松本剛,ヤクルト,松本直,サイスニード,2024-06-08,0,1,2024RS
日本ハム,松本剛,ヤクルト,松本直,ヤフーレ,2024-06-09,1,0,2024RS
日本ハム,万波,ヤクルト,松本直,ヤフーレ,2024-06-09,0,1,2024RS
ソフトバンク,周東,ヤクルト,松本直,吉村,2024-06-11,0,1,2024RS
ソフトバンク,川瀬,ヤクルト,松本直,山本,2024-06-11,0,1,2024RS
ソフトバンク,周東,ヤクルト,松本直,星,2024-06-13,1,0,2024RS
オリックス,茶野,ヤクルト,松本直,サイスニード,2024-06-15,2,0,2024RS
オリックス,佐野,ヤクルト,松本直,エスパーダ,2024-06-15,0,1,2024RS
オリックス,茶野,ヤクルト,松本直,小澤,2024-06-16,1,0,2024RS
オリックス,太田,ヤクルト,松本直,山本,2024-06-16,1,0,2024RS
巨人,立岡,ヤクルト,松本直,大西,2024-06-22,0,1,2024RS
広島,小園,ヤクルト,松本直,高橋,2024-06-25,0,1,2024RS
広島,上本,ヤクルト,中村,小川,2024-06-26,0,1,2024RS
広島,羽月,ヤクルト,松本直,木澤,2024-06-27,0,1,2024RS
阪神,島田,ヤクルト,中村,奥川,2024-06-29,1,0,2024RS
DeNA,牧,ヤクルト,中村,小澤,2024-07-02,1,0,2024RS
巨人,岸田,ヤクルト,中村,清水,2024-07-05,0,1,2024RS
巨人,門脇,ヤクルト,中村,星,2024-07-06,1,0,2024RS
阪神,大山,ヤクルト,中村,吉村,2024-07-09,0,1,2024RS
阪神,島田,ヤクルト,中村,吉村,2024-07-09,0,1,2024RS
DeNA,梶原,ヤクルト,中村,サイスニード,2024-07-20,0,1,2024RS
広島,矢野,ヤクルト,松本直,阪口,2024-07-28,0,1,2024RS
巨人,門脇,ヤクルト,西田,ロドリゲス,2024-08-04,1,0,2024RS
阪神,近本,ヤクルト,中村,ヤフーレ,2024-08-06,1,0,2024RS
DeNA,梶原,ヤクルト,松本直,奥川,2024-08-11,1,0,2024RS
中日,石垣,ヤクルト,松本直,大西,2024-08-14,1,0,2024RS
中日,岡林,ヤクルト,松本直,サイスニード,2024-08-14,0,1,2024RS
---,---,ヤクルト,中村,---,2024-12-01,0,1,2024RS
広島,矢野,ヤクルト,松本直,高橋 奎二,2024-08-31,1,0,2024RS
巨人,浅野,ヤクルト,中村,ヤフーレ,2024-09-03,1,0,2024RS
巨人,吉川,ヤクルト,中村,ヤフーレ,2024-09-03,0,1,2024RS
阪神,近本,ヤクルト,中村,サイスニード,2024-09-06,0,1,2024RS
阪神,近本,ヤクルト,内山,高梨 裕稔,2024-09-08,0,1,2024RS
