o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
巨人,吉川,阪神,梅野,才木,2024-03-31,1,0,2024RS
DeNA,関根,阪神,---,伊藤,2024-04-03,1,0,2024RS
DeNA,関根,阪神,---,ゲラ,2024-04-03,0,1,2024RS
DeNA,桑原,阪神,梅野,島本,2024-04-04,1,0,2024RS
ヤクルト,岩田,阪神,坂本,桐敷,2024-04-05,1,0,2024RS
ヤクルト,塩見,阪神,梅野,才木,2024-04-07,1,0,2024RS
広島,堂林,阪神,梅野,伊藤,2024-04-10,0,1,2024RS
巨人,吉川,阪神,坂本,村上,2024-04-16,1,0,2024RS
巨人,佐々木,阪神,坂本,岩崎,2024-04-16,0,1,2024RS
巨人,重信,阪神,梅野,加治屋,2024-04-18,1,0,2024RS
中日,村松,阪神,坂本,門別,2024-04-19,1,0,2024RS
DeNA,山本,阪神,坂本,村上,2024-04-23,0,1,2024RS
DeNA,牧,阪神,梅野,伊藤,2024-04-24,1,0,2024RS
ヤクルト,サンタナ,阪神,坂本,大竹,2024-04-27,1,0,2024RS
ヤクルト,丸山和,阪神,梅野,加治屋,2024-04-28,0,1,2024RS
広島,野間,阪神,梅野,伊藤,2024-05-01,0,1,2024RS
巨人,門脇,阪神,梅野,船迫,2024-05-03,0,1,2024RS
巨人,丸,阪神,梅野,才木,2024-05-05,1,0,2024RS
巨人,増田大,阪神,---,桐敷,2024-05-05,0,1,2024RS
DeNA,関根,阪神,---,伊藤,2024-05-11,0,1,2024RS
DeNA,森敬,阪神,梅野,才木,2024-05-12,1,0,2024RS
中日,田中,阪神,坂本,大竹,2024-05-15,1,0,2024RS
中日,大島,阪神,---,西勇,2024-05-16,1,0,2024RS
中日,田中,阪神,梅野,西勇,2024-05-16,1,0,2024RS
ヤクルト,西川,阪神,坂本,青柳,2024-05-17,0,1,2024RS
広島,大盛,阪神,坂本,岩崎,2024-05-22,1,0,2024RS
広島,矢野,阪神,梅野,西勇,2024-05-23,1,0,2024RS
広島,矢野,阪神,---,矢崎,2024-05-23,0,1,2024RS
巨人,オコエ,阪神,坂本,及川,2024-05-24,1,0,2024RS
巨人,丸,阪神,坂本,富田,2024-05-24,1,0,2024RS
巨人,長野,阪神,梅野,才木,2024-05-26,0,1,2024RS
日本ハム,五十幡,阪神,坂本,島本,2024-05-29,1,0,2024RS
日本ハム,松本剛,阪神,梅野,西勇,2024-05-30,0,1,2024RS
ロッテ,友杉,阪神,坂本,漆原,2024-05-31,1,0,2024RS
ロッテ,友杉,阪神,梅野,ビーズリー,2024-06-01,1,0,2024RS
楽天,小深田,阪神,梅野,西勇,2024-06-06,0,1,2024RS
西武,山野辺,阪神,坂本,伊藤,2024-06-07,1,0,2024RS
ソフトバンク,笹川,阪神,坂本,伊藤,2024-06-14,1,0,2024RS
ソフトバンク,周東,阪神,梅野,ビーズリー,2024-06-15,1,0,2024RS
ソフトバンク,廣瀬,阪神,梅野,ビーズリー,2024-06-15,0,1,2024RS
ソフトバンク,周東,阪神,梅野,才木,2024-06-16,2,0,2024RS
日本ハム,五十幡,阪神,梅野,桐敷,2024-06-18,1,0,2024RS
日本ハム,水野,阪神,---,岩崎,2024-06-18,0,1,2024RS
DeNA,牧,阪神,坂本,伊藤,2024-06-22,1,0,2024RS
中日,板山,阪神,梅野,才木,2024-06-25,1,0,2024RS
中日,福永,阪神,梅野,才木,2024-06-25,0,1,2024RS
中日,岡林,阪神,坂本,ゲラ,2024-06-26,1,0,2024RS
ヤクルト,並木,阪神,坂本,島本,2024-06-29,1,0,2024RS
ヤクルト,宮本,阪神,梅野,西勇,2024-06-30,1,0,2024RS
広島,秋山,阪神,梅野,村上,2024-07-04,1,0,2024RS
広島,小園,阪神,梅野,村上,2024-07-04,0,1,2024RS
広島,羽月,阪神,梅野,島本,2024-07-04,1,0,2024RS
広島,羽月,阪神,梅野,石井,2024-07-04,1,0,2024RS
広島,野間,阪神,梅野,石井,2024-07-04,1,0,2024RS
DeNA,梶原,阪神,梅野,ビーズリー,2024-07-05,1,0,2024RS
DeNA,森敬,阪神,梅野,ビーズリー,2024-07-05,1,0,2024RS
DeNA,梶原,阪神,坂本,伊藤,2024-07-06,1,0,2024RS
DeNA,森敬,阪神,坂本,伊藤,2024-07-06,1,0,2024RS
ヤクルト,丸山和,阪神,梅野,吉村,2024-07-09,1,0,2024RS
ヤクルト,岩田,阪神,梅野,大西,2024-07-09,1,0,2024RS
広島,野間,阪神,梅野,及川,2024-07-20,1,0,2024RS
中日,龍空,阪神,梅野,西友,2024-07-28,1,0,2024RS
中日,岡林,阪神,梅野,ゲラ,2024-07-28,1,0,2024RS
巨人,丸,阪神,梅野,才木,2024-07-30,1,0,2024RS
DeNA,梶原,阪神,坂本,大竹,2024-08-03,1,0,2024RS
ヤクルト,西川,阪神,梅野,ビーズリー,2024-08-08,1,0,2024RS
広島,秋山,阪神,坂本,村上,2024-08-09,0,1,2024RS
広島,羽月,阪神,坂本,漆原,2024-08-10,1,0,2024RS
巨人,吉川,阪神,梅野,西勇,2024-08-12,1,0,2024RS
ヤクルト,内山,阪神,梅野,西勇,2024-08-21,1,0,2024RS
ヤクルト,サンタナ,阪神,梅野,西勇,2024-08-21,1,0,2024RS
広島,小園,阪神,梅野,高橋,2024-08-23,1,0,2024RS
広島,中村奨,阪神,坂本,門別,2024-08-24,0,1,2024RS
DeNA,蝦名,阪神,梅野,伊藤,2024-08-27,1,0,2024RS
DeNA,京田,阪神,梅野,岡留,2024-08-27,1,0,2024RS
DeNA,梶原,阪神,坂本,東,2024-08-28,1,0,2024RS
---,---,阪神,梅野,---,2024-12-01,-1,0,2024RS
ヤクルト,並木,阪神,梅野,島本 浩也,2024-09-06,1,0,2024RS
広島,小園,阪神,梅野,才木 浩人,2024-09-14,1,0,2024RS
