team,catcher,games,stolen_bases,caught_stealing,series
巨人,小林,119,29,15,2018RS
巨人,大城,66,28,6,2018RS
巨人,宇佐見,21,7,3,2018RS
巨人,河野,3,0,1,2018RS
広島,會沢,103,40,13,2018RS
広島,石原,57,26,3,2018RS
広島,磯村,34,17,4,2018RS
広島,坂倉,5,1,0,2018RS
広島,船越,1,0,0,2018RS
ヤクルト,中村,123,47,19,2018RS
ヤクルト,井野,45,10,2,2018RS
ヤクルト,古賀,7,1,1,2018RS
ヤクルト,松本,5,1,1,2018RS
ヤクルト,大村,2,0,0,2018RS
ヤクルト,西田,2,0,0,2018RS
横浜,嶺井,90,39,9,2018RS
横浜,伊藤,46,18,12,2018RS
横浜,高城,28,18,4,2018RS
横浜,戸柱,24,12,5,2018RS
横浜,山本,1,0,0,2018RS
中日,松井,91,39,8,2018RS
中日,大野,62,45,11,2018RS
中日,武山,30,4,5,2018RS
中日,木下,14,5,3,2018RS
阪神,梅野,132,51,24,2018RS
阪神,原口,32,13,3,2018RS
阪神,坂本,14,3,2,2018RS
阪神,長坂,8,1,0,2018RS
阪神,岡崎,4,2,1,2018RS
巨人,小林,91,18,13,2019RS
巨人,大城,62,24,5,2019RS
巨人,炭谷,58,24,8,2019RS
巨人,岸田,4,0,1,2019RS
巨人,宇佐見,3,2,0,2019RS
巨人,阿部,1,1,0,2019RS
巨人,田中,1,0,0,2019RS
横浜,伊藤,84,40,13,2019RS
横浜,嶺井,62,18,7,2019RS
横浜,戸柱,42,24,4,2019RS
横浜,山本,5,2,0,2019RS
阪神,梅野,129,46,27,2019RS
阪神,坂本,20,8,1,2019RS
阪神,原口,17,7,3,2019RS
阪神,長坂,2,0,0,2019RS
広島,會沢,123,36,13,2019RS
広島,石原,31,7,7,2019RS
広島,磯村,30,10,4,2019RS
広島,坂倉,3,0,0,2019RS
中日,加藤,92,30,12,2019RS
中日,木下,35,14,5,2019RS
中日,大野,33,11,2,2019RS
中日,武山,29,9,2,2019RS
中日,松井,18,7,2,2019RS
中日,石橋,9,1,0,2019RS
中日,桂,4,1,0,2019RS
ヤクルト,中村,123,59,27,2019RS
ヤクルト,松本,29,5,5,2019RS
ヤクルト,西田,15,2,0,2019RS
ヤクルト,古賀,9,5,0,2019RS
ヤクルト,井野,7,10,1,2019RS
巨人,大城,85,31,16,2020RS
巨人,炭谷,53,11,5,2020RS
巨人,岸田,29,4,3,2020RS
巨人,小林,10,2,1,2020RS
阪神,梅野,97,30,15,2020RS
阪神,坂本,37,8,3,2020RS
阪神,原口,14,9,1,2020RS
阪神,長坂,2,0,0,2020RS
中日,木下,87,30,25,2020RS
中日,加藤,27,5,2,2020RS
中日,郡司,24,7,4,2020RS
中日,A.マルティネス,21,13,3,2020RS
中日,桂,2,0,3,2020RS
横浜,戸柱,95,46,25,2020RS
横浜,嶺井,34,7,7,2020RS
横浜,伊藤,23,8,1,2020RS
横浜,高城,21,6,1,2020RS
横浜,山本,1,1,0,2020RS
広島,會沢,64,28,8,2020RS
広島,坂倉,55,15,11,2020RS
広島,磯村,18,4,3,2020RS
広島,石原,4,1,0,2020RS
広島,白濱,2,1,0,2020RS
ヤクルト,西田,62,34,13,2020RS
ヤクルト,井野,32,11,0,2020RS
ヤクルト,中村,29,17,4,2020RS
ヤクルト,古賀,25,5,2,2020RS
ヤクルト,嶋,20,10,0,2020RS
ヤクルト,松本,6,3,0,2020RS
