date,avg,pb,ab,hit,2b,3b,hr,rbi,runs,sb
2022-03-25,0.333,5,3,1,0,0,0,0,2,0
2022-03-26,0.2,4,2,0,0,0,0,0,1,0
2022-03-27,0.375,4,3,2,0,0,0,1,0,0
2022-03-29,0.273,4,3,0,0,0,0,0,0,0
2022-03-30,0.286,4,3,1,0,0,0,1,0,0
2022-03-31,0.222,4,4,0,0,0,0,0,0,0
2022-04-01,0.238,3,3,1,0,0,1,1,1,0
2022-04-02,0.24,5,4,1,1,0,0,1,0,0
2022-04-05,0.276,4,4,2,0,0,2,4,2,1
2022-04-06,0.25,4,3,0,0,0,0,0,0,0
2022-04-07,0.257,4,3,1,0,0,0,0,0,0
2022-04-08,0.282,5,4,2,1,0,0,1,3,0
2022-04-09,0.256,4,4,0,0,0,0,0,0,0
2022-04-10,0.255,4,4,1,1,0,0,0,0,0
2022-04-12,0.245,4,2,0,0,0,0,0,1,0
2022-04-13,0.264,4,4,2,0,0,0,0,0,0
2022-04-15,0.281,4,4,2,0,0,0,0,1,0
2022-04-16,0.279,4,4,1,1,0,0,0,0,0
2022-04-17,0.288,5,5,2,0,0,0,2,0,0
2022-04-19,0.286,5,4,1,0,0,1,2,2,0
2022-04-20,0.297,4,4,2,0,0,1,1,1,0
2022-04-22,0.286,4,3,0,0,0,0,0,0,0
2022-04-23,0.275,3,3,0,0,0,0,0,0,0
2022-04-24,0.28,4,2,1,0,0,0,1,1,0
2022-04-27,0.299,5,5,3,1,0,1,3,1,0
2022-04-28,0.3,5,3,1,0,0,0,2,1,1
2022-04-30,0.297,4,1,0,0,0,0,0,0,1
2022-05-03,0.305,4,4,2,0,0,1,2,1,0
2022-05-04,0.303,4,4,1,1,0,0,1,0,0
2022-05-05,0.297,4,2,0,0,0,0,0,0,0
2022-05-06,0.295,5,4,1,0,0,1,4,1,0
2022-05-07,0.291,5,5,1,0,0,1,4,1,0
2022-05-08,0.283,5,3,0,0,0,0,0,0,0
2022-05-10,0.284,4,3,1,0,0,0,0,0,0
2022-05-11,0.275,4,4,0,0,0,0,0,0,0
2022-05-12,0.268,4,3,0,0,0,0,0,0,0
2022-05-14,0.281,5,5,3,0,0,2,2,2,0
2022-05-15,0.284,6,6,2,0,0,1,2,2,0
2022-05-17,0.285,4,3,1,0,0,0,0,0,0
2022-05-18,0.277,4,4,0,0,0,0,0,0,0
2022-05-19,0.275,4,1,0,0,0,0,0,0,0
2022-05-20,0.267,4,4,0,0,0,0,0,0,0
2022-05-21,0.267,5,4,1,0,0,1,3,1,0
2022-05-22,0.275,4,3,2,1,0,0,2,0,0
2022-05-24,0.278,5,5,2,0,0,1,2,1,0
2022-05-25,0.278,4,4,1,0,0,0,0,0,0
2022-05-26,0.276,5,1,0,0,0,0,0,1,0
2022-05-27,0.271,5,3,0,0,0,0,0,0,0
2022-05-28,0.269,5,5,1,0,0,0,0,1,1
2022-05-29,0.274,4,4,2,1,0,1,1,1,0
2022-05-31,0.271,3,2,0,0,0,0,0,0,0
2022-06-01,0.271,4,0,0,0,0,0,0,0,0
2022-06-02,0.267,4,3,0,0,0,0,0,0,0
2022-06-03,0.262,4,3,0,0,0,0,0,0,0
2022-06-04,0.269,3,3,2,0,0,1,2,2,0
2022-06-05,0.275,4,3,2,0,0,0,0,0,0
2022-06-07,0.271,4,3,0,0,0,0,0,0,0
2022-06-08,0.281,4,4,3,1,0,0,1,1,1
2022-06-09,0.286,4,3,2,0,0,0,0,0,0
2022-06-10,0.292,4,3,2,0,0,1,1,1,0
2022-06-11,0.301,5,4,3,0,0,2,6,2,0
2022-06-12,0.295,4,4,0,0,0,0,0,0,0
2022-06-17,0.29,4,4,0,0,0,0,0,0,0
2022-06-18,0.292,5,5,2,0,0,0,1,0,3
2022-06-19,0.302,5,3,3,0,0,2,2,3,0
2022-06-21,0.301,4,4,1,0,0,0,0,0,0
2022-06-22,0.303,5,5,2,0,0,0,0,1,0
2022-06-23,0.314,5,5,4,1,0,2,6,3,0
2022-06-24,0.315,5,5,2,0,0,2,5,3,0
2022-06-25,0.316,4,3,1,0,0,0,1,1,0
2022-06-26,0.315,5,4,1,0,0,1,3,1,0
2022-06-28,0.315,4,3,1,0,0,1,3,1,0
2022-06-29,0.32,5,5,3,0,0,2,4,3,1
2022-06-30,0.315,6,4,0,0,0,0,0,1,0
2022-07-01,0.312,4,3,0,0,0,0,0,0,0
2022-07-02,0.312,4,3,1,0,0,0,0,0,0
2022-07-03,0.307,5,4,0,0,0,0,0,0,0
2022-07-05,0.305,4,2,0,0,0,0,0,0,0
2022-07-06,0.305,5,3,1,1,0,0,0,1,0
2022-07-07,0.307,6,5,2,0,0,0,1,1,0
2022-07-08,0.307,3,3,1,0,0,0,0,0,0
2022-07-12,0.307,0,0,0,0,0,0,0,0,0
2022-07-13,0.309,4,2,1,0,0,1,2,2,0
2022-07-14,0.31,4,2,1,0,0,0,0,0,0
2022-07-15,0.31,0,0,0,0,0,0,0,0,0
2022-07-16,0.314,4,3,2,0,0,1,2,1,0
2022-07-17,0.316,4,4,2,2,0,0,1,1,0
2022-07-18,0.312,5,4,0,0,0,0,0,1,0
2022-07-19,0.316,4,3,2,0,0,0,0,2,0
2022-07-20,0.319,4,3,2,0,0,1,4,2,0
2022-07-22,0.316,4,3,0,0,0,0,0,0,0
2022-07-23,0.316,4,3,1,0,0,1,1,1,0
2022-07-24,0.312,4,4,0,0,0,0,0,0,0
2022-07-29,0.309,4,3,0,0,0,0,0,0,0
2022-07-30,0.312,4,4,2,1,0,1,2,1,0
2022-07-31,0.316,5,5,3,0,0,3,4,3,0
2022-08-02,0.321,4,4,3,1,0,2,3,3,0
2022-08-03,0.321,5,3,1,0,0,0,0,4,0
2022-08-04,0.321,0,0,0,0,0,0,0,0,0
2022-08-05,0.32,4,4,1,0,0,0,0,0,0
2022-08-06,0.32,0,0,0,0,0,0,0,0,0
2022-08-07,0.318,4,3,0,0,0,0,0,0,0
2022-08-09,0.323,4,4,3,0,0,0,0,0,1
2022-08-10,0.322,4,4,1,0,0,0,0,0,0
2022-08-11,0.321,4,4,1,0,0,1,1,1,0
2022-08-12,0.323,4,1,1,0,0,1,1,1,0
2022-08-14,0.32,4,3,0,0,0,0,0,1,0
2022-08-16,0.32,4,3,1,0,0,0,1,2,0
2022-08-17,0.32,3,3,1,0,0,1,3,1,0
2022-08-18,0.322,4,4,2,1,0,0,0,0,0
2022-08-19,0.324,4,4,2,1,0,0,0,1,0
2022-08-20,0.329,5,4,3,0,0,2,3,3,0
2022-08-21,0.327,4,2,0,0,0,0,0,0,1
2022-08-23,0.327,4,3,1,0,0,1,3,1,0
2022-08-24,0.329,5,1,1,0,0,0,1,1,1
2022-08-25,0.326,5,3,0,0,0,0,0,0,0
2022-08-26,0.328,5,4,2,0,0,2,4,2,0
2022-08-27,0.337,6,5,5,0,0,1,4,4,0
2022-08-28,0.34,5,2,2,0,0,1,1,2,0
2022-08-30,0.339,5,4,1,0,0,0,0,1,0
2022-08-31,0.339,6,3,1,0,1,0,0,2,0
2022-09-02,0.337,5,5,1,0,0,1,3,1,0
2022-09-03,0.341,4,4,3,1,0,0,0,0,0
2022-09-04,0.341,4,3,1,0,0,1,2,1,0
2022-09-06,0.341,6,6,2,0,0,1,2,1,0
2022-09-07,0.339,3,3,0,0,0,0,0,0,0
2022-09-09,0.338,4,4,1,0,0,1,1,1,0
2022-09-10,0.337,5,4,1,1,0,0,0,1,0
2022-09-11,0.335,4,3,0,0,0,0,0,0,0
2022-09-12,0.333,4,2,0,0,0,0,0,0,0
2022-09-13,0.337,5,4,3,0,0,2,4,3,0
2022-09-16,0.335,4,3,0,0,0,0,0,0,0
2022-09-17,0.335,6,3,1,1,0,0,0,1,0
2022-09-18,0.333,4,3,0,0,0,0,0,0,0
2022-09-20,0.33,4,3,0,0,0,0,0,0,0
2022-09-21,0.33,5,3,1,0,0,0,0,1,0
2022-09-22,0.328,4,4,0,0,0,0,0,0,0
2022-09-23,0.325,4,3,0,0,0,0,0,0,0
2022-09-24,0.325,5,4,1,1,0,0,0,1,0
2022-09-25,0.322,4,4,0,0,0,0,0,0,0
2022-09-27,0.320,4,3,0,0,0,0,0,0,0
