Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
2026-03-26,LAD,vs AZ,3,1,1,1,0,0,0,0,1,0,0,0,0,.333,.600,.333,1,0,0
2026-03-27,LAD,vs AZ,3,1,0,0,0,0,0,0,1,0,1,0,0,.167,.444,.167,0,0,0
2026-03-28,LAD,vs AZ,2,0,0,0,0,0,0,0,2,0,0,0,0,.125,.462,.125,0,0,0
2026-03-30,LAD,vs CLE,4,0,1,1,0,0,0,0,0,0,1,0,0,.167,.412,.167,0,0,0
2026-03-31,LAD,vs CLE,3,0,1,1,0,0,0,0,2,0,1,0,0,.200,.455,.200,0,0,0
2026-04-01,LAD,vs CLE,3,0,0,0,0,0,0,0,1,0,2,0,0,.167,.423,.167,0,0,0
2026-04-03,LAD,@ WSH,5,1,2,5,0,0,1,4,0,0,2,0,0,.217,.406,.348,0,0,1
2026-04-04,LAD,@ WSH,6,1,2,2,0,0,0,0,0,0,2,0,0,.241,.395,.345,0,0,0
2026-04-05,LAD,@ WSH,4,1,2,6,1,0,1,2,0,0,1,0,0,.273,.395,.485,0,0,1
2026-04-06,LAD,@ TOR,6,2,2,5,0,0,1,1,0,0,2,0,0,.282,.388,.538,0,0,0
2026-04-07,LAD,@ TOR,3,0,1,1,0,0,0,1,2,1,0,0,0,.286,.407,.524,0,0,0
2026-04-08,LAD,@ TOR,3,0,0,0,0,0,0,0,1,0,2,0,0,.267,.407,.489,1,0,0
2026-04-10,LAD,vs TEX,4,0,1,1,0,0,0,0,1,1,1,0,0,.265,.406,.469,0,0,0
2026-04-11,LAD,vs TEX,4,1,2,5,0,0,1,1,0,0,2,0,0,.283,.412,.528,0,0,0
2026-04-12,LAD,vs TEX,3,1,1,4,0,0,1,1,2,1,1,0,0,.286,.425,.571,0,0,0
2026-04-13,LAD,vs NYM,4,1,0,0,0,0,0,0,0,0,1,0,0,.267,.410,.533,1,0,0
2026-04-14,LAD,vs NYM,3,0,0,0,0,0,0,0,1,1,0,0,0,.254,.402,.508,0,0,0
2026-04-17,LAD,@ COL,5,1,2,3,1,0,0,0,0,0,1,0,0,.265,.402,.515,0,0,0
2026-04-18,LAD,@ COL,4,1,1,1,0,0,0,0,0,0,0,0,0,.264,.396,.500,0,0,0
2026-04-19,LAD,@ COL,5,1,2,4,2,0,0,1,0,0,2,0,0,.273,.396,.519,0,0,0
