Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
2026-03-31,LAD,vs CLE,1,0,0.00,1,1,0,0,0,0,6.0,1,0,0,0,1,3,0,6,87-54,.053,0.67,0.50
2026-04-08,LAD,@ TOR,0,0,0.00,1,1,0,0,0,0,6.0,4,1,0,0,0,1,0,2,96-60,.119,0.75,0.93
2026-04-15,LAD,vs NYM,1,0,0.50,1,1,0,0,0,0,6.0,2,1,1,0,0,2,0,10,95-63,.113,0.72,1.06
2026-04-22,LAD,@ SF,0,0,0.38,1,1,0,0,0,0,6.0,5,0,0,0,0,0,0,7,91-64,.141,0.75,1.09
2026-04-28,LAD,vs MIA,0,1,0.60,1,1,0,0,0,0,6.0,5,2,1,0,1,3,0,9,104-67,.160,0.87,1.04
2026-05-05,LAD,@ HOU,0,1,0.97,1,1,0,0,0,0,7.0,4,2,2,2,1,0,0,8,89-62,.160,0.81,1.06
2026-05-13,LAD,vs SF,1,0,0.82,1,1,0,0,0,0,7.0,4,0,0,0,0,2,0,8,105-71,.161,0.82,1.05
2026-05-20,LAD,@ SD,1,0,0.73,1,1,0,0,0,0,5.0,3,0,0,0,0,2,0,4,88-53,.163,0.84,1.09
2026-05-27,LAD,vs COL,1,0,0.82,1,1,0,0,0,0,6.0,0,1,1,0,1,4,0,7,99-56,.147,0.82,1.02
2026-06-03,LAD,@ AZ,1,0,0.74,1,1,0,0,0,0,6.0,2,0,0,0,0,1,0,6,89-58,.144,0.79,1.15
2026-06-10,LAD,@ PIT,0,0,1.06,1,1,0,0,0,0,6.2,6,4,3,1,1,3,0,6,102-61,.154,0.84,1.15
2026-06-17,LAD,vs TB,1,0,1.47,1,1,0,0,0,0,6.0,7,4,4,0,1,1,0,5,91-63,.167,0.88,1.15
2026-06-24,LAD,@ MIN,1,0,1.58,1,1,0,0,0,0,6.0,5,3,2,0,0,2,0,8,89-57,.171,0.90,1.19
2026-07-03,LAD,vs SD,0,0,1.79,1,1,0,0,0,0,6.0,7,3,3,1,0,2,0,9,110-73,.180,0.95,1.23
