Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
2024-03-20,LAD,@_SD,5,0,2,2,0,0,0,1,0,0,0,1,0,.400,.400,.400,0,0,0
2024-03-21,LAD,vs_SD,5,1,1,1,0,0,0,1,0,0,0,0,0,.300,.273,.300,0,0,1
2024-03-28,LAD,vs_STL,3,1,2,3,1,0,0,0,1,0,1,0,0,.385,.400,.462,0,0,0
2024-03-29,LAD,vs_STL,4,0,0,0,0,0,0,0,0,0,1,0,0,.294,.316,.353,0,0,0
2024-03-30,LAD,vs_STL,5,1,1,1,0,0,0,0,1,0,2,0,0,.273,.320,.318,0,0,0
2024-03-31,LAD,vs_STL,4,1,1,2,1,0,0,0,0,0,2,0,0,.269,.310,.346,0,0,0
2024-04-01,LAD,vs_SF,4,1,1,2,1,0,0,1,0,0,1,0,0,.267,.303,.367,0,0,0
2024-04-02,LAD,vs_SF,3,0,0,0,0,0,0,0,1,0,1,0,0,.242,.297,.333,0,0,0
2024-04-03,LAD,vs_SF,4,2,2,5,0,0,1,1,0,0,1,0,0,.270,.317,.432,0,0,0
2024-04-05,LAD,@_CHC,5,2,2,6,1,0,1,2,0,0,0,0,0,.286,.326,.524,0,0,0
2024-04-06,LAD,@_CHC,4,1,2,2,0,0,0,0,1,0,1,0,0,.304,.353,.522,0,0,0
2024-04-07,LAD,@_CHC,4,0,2,5,1,1,0,1,0,0,1,0,0,.320,.364,.580,0,0,0
2024-04-08,LAD,@_MIN,5,2,3,8,2,0,1,1,0,0,1,0,0,.345,.383,.673,0,0,0
2024-04-09,LAD,@_MIN,5,0,1,2,1,0,0,0,0,0,2,0,0,.333,.369,.650,0,0,0
2024-04-10,LAD,@_MIN,3,0,1,1,0,0,0,0,1,0,0,0,0,.333,.377,.635,0,0,0
2024-04-12,LAD,vs_SD,5,1,3,8,2,0,1,1,0,0,0,0,0,.353,.392,.706,0,0,0
2024-04-13,LAD,vs_SD,2,0,0,0,0,0,0,1,2,0,0,1,0,.343,.392,.686,0,0,1
2024-04-14,LAD,vs_SD,4,0,1,1,0,0,0,0,0,0,2,0,0,.338,.386,.662,0,0,0
