Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
2024-10-05,LAD,vs SD,5,2,2,5,0,0,1,3,0,0,2,0,0,.400,.400,1.000,0,0,0
2024-10-06,LAD,vs SD,4,0,0,0,0,0,0,0,0,0,2,0,0,.222,.222,.556,0,0,0
2024-10-08,LAD,@ SD,4,1,1,1,0,0,0,0,0,0,2,0,0,.231,.231,.462,0,0,0
2024-10-09,LAD,@ SD,3,0,1,1,0,0,0,1,2,0,1,0,0,.250,.333,.438,0,0,0
2024-10-11,LAD,vs SD,4,0,0,0,0,0,0,0,0,0,3,0,0,.200,.273,.350,0,0,0
2024-10-13,LAD,vs NYM,4,2,2,2,0,0,0,1,1,0,0,0,1,.250,.333,.375,0,0,0
2024-10-14,LAD,vs NYM,3,0,0,0,0,0,0,0,2,0,2,0,0,.222,.344,.333,0,0,0
2024-10-16,LAD,@ NYM,4,1,1,4,0,0,1,3,1,0,1,0,0,.226,.351,.419,0,0,0
2024-10-17,LAD,@ NYM,3,4,1,4,0,0,1,1,3,0,1,0,0,.235,.395,.500,0,0,0
2024-10-18,LAD,@ NYM,4,0,2,2,0,0,0,0,1,0,2,0,0,.263,.417,.500,0,0,0
2024-10-20,LAD,vs NYM,4,2,2,2,0,0,0,1,1,0,1,0,0,.286,.434,.500,0,0,0
