Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
2025-06-17,LAD,vs SD,0,0,9.00,1,1,0,0,0,0,1.0,2,1,1,0,0,0,0,0,28-16,.500,2.00,2.00
2025-06-22,LAD,vs WSH,0,0,4.50,1,1,0,0,0,0,1.0,0,0,0,0,0,0,0,2,18-12,.250,1.00,1.50
2025-06-28,LAD,@ KC,0,0,2.25,1,1,0,0,0,0,2.0,1,0,0,0,0,1,0,1,27-20,.214,1.00,0.80
2025-07-05,LAD,vs HOU,0,0,1.50,1,1,0,0,0,0,2.0,1,0,0,0,0,0,0,3,31-21,.200,0.83,1.2
2025-07-12,LAD,@ SF,0,0,1.00,1,1,0,0,0,0,3.0,1,0,0,0,0,1,0,4,36-25,.167,0.78,0.78
2025-07-21,LAD,vs MIN,0,0,1.50,1,1,0,0,0,0,3.0,4,1,1,1,0,1,0,3,46-30,.209,1.00,0.69
2025-07-30,LAD,@ CIN,0,0,2.40,1,1,0,0,0,0,3.0,5,2,2,0,0,2,0,4,51-32,.246,1.27,0.93
2025-08-06,LAD,vs STL,0,0,2.37,1,1,0,0,0,0,4.0,2,1,1,0,0,0,0,8,54-37,.225,1.11,0.82
2025-08-13,LAD,@ LAA,0,0,3.47,1,1,0,0,0,0,4.1,5,4,4,1,0,0,0,7,80-50,.236,1.11,0.81
2025-08-20,LAD,@ COL,0,1,4.61,1,1,0,0,0,0,4.0,9,5,5,0,0,0,0,3,66-50,.278,1.28,0.92
2025-08-27,LAD,vs CIN,1,0,4.18,1,1,0,0,0,0,5.0,2,1,1,1,0,2,0,9,87-53,.256,1.21,1.00
